SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Chlorobi,k__Bacteria|p__Deinococcus_Thermus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Synergistetes,k__Bacteria|p__Tenericutes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota
HD-10,0.0,0.0,0.06939,68.27344000000002,0.0,0.0,0.0,24.426979999999997,1.44325,5.783509999999999,0.0,0.0,0.0,0.0034,0.0
HD-11,0.0,0.0,0.22682999999999998,41.644549999999995,0.0,0.0,0.0,47.4591,0.0,2.1440299999999994,0.0,0.0,0.0,8.52552,0.0
HD-12,0.0,0.0,0.27806,59.53684,0.0,0.0,0.0,36.770549999999986,0.7280800000000001,2.68169,0.0,0.0,0.0,0.00481,0.0
HD-13,0.0,0.0,0.17676,65.24801,0.0,0.0,0.0,33.31464999999999,0.0,1.24196,0.0,0.0,0.0,0.01864,0.0
HD-14,0.0,0.0,0.32152000000000003,81.43028000000001,0.0,0.0,0.00602,15.579170000000001,0.04214,2.62085,0.0,0.0,0.0,0.0,0.0
HD-15,0.0,0.0,0.08538000000000001,62.76019,0.0,0.0,0.0,28.270950000000003,0.0,8.883469999999999,0.0,0.0,0.0,0.0,0.0
HD-16,0.0,0.0,0.14794,40.894,0.0,0.0,0.0,57.70955000000003,0.00265,1.24583,0.0,0.0,0.0,0.0,0.0
HD-17,0.0,0.0,5.93298,56.26498999999999,0.0,0.0,0.0,34.48674000000001,0.009980000000000001,3.3052799999999998,0.0,0.0,0.0,0.0,0.0
HD-18,0.39518000000000003,0.0,0.6504100000000002,32.41605,0.0,0.0,0.0,42.10700000000001,0.00411,18.46717,0.0,1.10504,0.0,4.8550699999999996,0.0
HD-19,0.0,0.0,0.08471000000000001,50.742810000000006,0.00235,0.0,0.0,43.92792999999999,3.69786,1.5442999999999998,0.0,0.0,0.0,0.0,0.0
HD-1,0.0,0.0,0.21865,73.10286,0.0,0.0,0.0,24.46163,0.12674000000000002,2.0901099999999997,0.0,0.0,0.0,0.0,0.0
HD-20,0.0,0.0,0.35118,13.003079999999999,0.0,0.0,0.0,74.74173999999998,0.22601000000000002,11.67803,0.0,0.0,0.0,0.0,0.0
HD-21,0.0,0.0,0.08206,50.991440000000004,0.0,0.0,0.0,34.39405999999999,14.24734,0.28506000000000004,0.0,0.0,0.0,0.0,0.0
HD-22,0.0,0.0,0.08803,31.382539999999995,0.0,0.0,0.0,67.40819,0.02417,1.09385,0.0,0.0,0.0,0.00324,0.0
HD-23,0.0,0.0,0.23974000000000004,69.60861,0.0,0.0,0.0,26.95278,0.0,2.3881499999999996,0.0,0.0,0.0,0.81071,0.0
HD-24,0.0,0.0,0.18632,72.56626999999999,0.0,0.0,0.0,20.94162,2.25979,4.046,0.0,0.0,0.0,0.0,0.0
HD-25,0.0,0.0,0.24681999999999998,70.49975000000002,0.0,0.0,0.0,8.68735,0.0,20.56608,0.0,0.0,0.0,0.0,0.0
HD-26,0.0,0.0,1.00704,30.553110000000004,0.0,0.0,0.0,67.82845999999999,0.0,0.57281,0.0,0.038560000000000004,0.0,0.0,0.0
HD-27,0.01755,0.0,0.10723,61.39527,0.0,0.0,0.0,31.458460000000006,0.66279,3.6857800000000003,0.0,0.0,0.0,2.67291,0.0
HD-28,0.0,0.0,0.14118999999999998,54.28792,0.0,0.0,0.0,43.629290000000005,0.0,1.7995100000000002,0.0,0.0,0.0,0.14212,0.0
HD-29,0.00662,0.0,1.30485,53.94236000000001,0.0,0.0,0.0,40.35059,1.12582,3.2526900000000007,0.0,0.0,0.0,0.0,0.01709
HD-2,0.0,0.0,0.0,56.00258,0.0,0.0,0.0,38.67212,0.0,2.6864500000000002,0.0,0.0,0.0,2.63888,0.0
HD-30,0.0,0.0,0.5358599999999999,72.53424,0.0,0.0,0.0,24.170599999999997,0.0,2.74651,0.0,0.006490000000000001,0.0,0.0,0.00628
HD-31,0.0,0.0,2.62472,61.06180999999998,0.0,0.0,0.0,34.79776999999999,0.47535,1.0181400000000003,0.0,0.0,0.0,0.0,0.02219
HD-32,0.49451,0.0,1.0992600000000001,47.96584000000001,0.0,0.0,0.00473,48.95397000000001,0.0,1.47463,0.0,0.0,0.0,0.00704,0.0
HD-33,0.29306,0.0,0.39939,57.06924,0.0,0.0,0.00315,40.314249999999994,0.0,1.6880499999999998,0.0,0.0,0.0,0.23288000000000003,0.0
HD-34,0.0,0.0,2.68625,65.84673,0.0,0.0,0.0,29.054749999999995,0.0,2.14537,0.0,0.26682,0.0,0.0,0.0
HD-35,0.72748,0.0,1.02278,33.74112,0.0,0.0,0.0,54.15134000000001,0.0,10.333949999999998,0.0,0.0,0.0,0.0,0.02331
HD-36,0.0,0.0,0.31440000000000007,52.86276,0.0,0.0,0.0,26.13205,0.0,2.5813900000000003,0.0,0.15880999999999998,0.0,17.95056,0.0
HD-37,0.0,0.0,0.30369999999999997,42.114430000000006,0.0,0.0,0.0,46.43861000000002,0.13437000000000002,5.209560000000001,0.0,0.1644,0.0,5.63491,0.0
HD-38,0.0,0.0,0.27342000000000005,57.10127,0.0,0.0,0.0,42.14413999999999,0.18146,0.2950499999999999,0.0,0.0025,0.0,0.00212,0.0
HD-39,0.0,0.0,0.29863,60.377680000000005,0.0,0.0,0.0,37.41841000000001,0.57992,1.32536,0.0,0.0,0.0,0.0,0.0
HD-3,0.0,0.0,0.08317,79.66628,0.0,0.0,0.0,16.24008,2.14485,1.8656,0.0,0.0,0.0,0.0,0.0
HD-40,0.0,0.0,0.11576,48.96836000000002,0.0,0.0,0.00451,47.91412000000001,0.0,2.3695799999999996,0.0,0.0,0.0,0.62771,0.0
HD-41,0.0,0.0,0.07691999999999999,66.07443999999998,0.0,0.0,0.0,31.03467000000001,0.0,2.81394,0.0,0.0,0.0,0.0,0.0
HD-42,0.0,0.0,0.33372,83.78919,0.0,0.0,0.0,12.159110000000002,0.0,3.7172799999999997,0.0,0.0,0.0,0.0007,0.0
HD-43,0.0,0.0,0.08422000000000002,71.91029999999999,0.0,0.0,0.0,23.571019999999997,0.0,4.41814,0.0,0.0,0.0,0.01633,0.0
HD-44,0.0,0.0,0.06934,83.82085999999998,0.00314,0.0,0.0,15.043310000000004,0.09426999999999999,0.96907,0.0,0.0,0.0,0.0,0.0
HD-45,0.0,0.0,0.05544,73.78616000000004,0.0,0.0,0.0,12.449629999999999,0.5149199999999999,13.193809999999997,0.0,0.0,0.0,0.0,0.0
HD-46,0.0058200000000000005,0.0,0.53191,72.64778000000001,0.0,0.0,0.0,25.41821,0.0,1.1259700000000001,0.0,0.0,0.0,0.27033,0.0
HD-47,0.0,0.0,0.9227100000000001,70.73308,0.0,0.0,0.0,27.287620000000004,0.00099,1.0556100000000002,0.0,0.0,0.0,0.0,0.0
HD-48,0.00056,0.0,1.42269,88.45474000000002,0.0,0.0,0.0,8.025309999999998,0.0,2.09669,0.0,0.0,0.0,0.0,0.0
HD-49,0.0,0.0,0.16384,60.91805999999998,0.0,0.0,0.0,30.710520000000002,3.72425,4.48332,0.0,0.0,0.0,0.0,0.0
HD-4,0.0,0.0,0.8252999999999999,59.25096,0.0,0.0,0.0,35.887060000000005,0.0,4.0366599999999995,0.0,0.0,0.0,0.0,0.0
HD-50,0.0,0.0,0.30215000000000003,47.652229999999996,0.00058,0.0,0.0,40.063629999999996,0.92048,11.046899999999997,0.0,0.0,0.0,0.013980000000000001,0.0
HD-51,0.0,0.0,0.10679999999999999,57.889320000000005,0.0,0.0,0.0,38.71665000000001,0.0,3.26851,0.0,0.0187,0.0,0.0,0.0
HD-52,0.0,0.0,0.09414,64.51212000000001,0.0,0.0,0.0,32.153859999999995,0.0078,3.2321,0.0,0.0,0.0,0.0,0.0
HD-53,0.0,0.0,0.44509000000000004,53.45020000000002,0.0022600000000000003,0.0,0.0,42.343819999999994,0.00033,3.74684,0.0,0.0,0.0,0.01144,0.0
HD-54,0.0,0.0,0.34925,69.47698,0.0,0.0,0.0,26.04048999999999,0.0179,4.11534,0.0,0.0,0.0,0.0,0.0
HD-55,0.0,0.0,0.35508999999999996,62.220980000000004,0.0126,0.0,0.00228,35.51748,0.0,0.62801,0.0,0.0,0.0,1.26358,0.0
HD-56,0.046310000000000004,0.0,0.20923000000000003,55.50089999999999,0.0,0.0,0.0,40.61991999999999,0.037469999999999996,3.58453,0.0,0.0,0.0,0.0016,0.0
HD-57,0.0,0.0,0.13616,60.43053999999998,0.0,0.0,0.0,36.74604999999998,0.0,2.6872700000000003,0.0,0.0,0.0,0.0,0.0
HD-58,0.0,0.0,0.98951,60.63693000000001,0.0,0.0,0.0,38.19937,0.0,0.17420999999999998,0.0,0.0,0.0,0.0,0.0
HD-59,0.0,0.0,6.011280000000001,59.65926999999999,0.0,0.0,0.00543,31.139359999999993,0.00151,3.16989,0.0,0.0,0.0,0.01323,0.0
HD-5,0.10198,0.0,0.37397,44.308870000000006,0.0,0.0,0.0,50.57178000000001,0.0,3.66444,0.0,0.0,0.0,0.9789899999999999,0.0
HD-60,0.0,0.0,0.20294,53.4624,0.0,0.0,0.0,44.50944000000002,0.0,1.6686200000000002,0.0,0.0,0.0,0.1566,0.0
HD-61,0.0,0.0,1.6427200000000002,73.00367,0.0,0.0,0.0,24.029180000000004,0.015399999999999999,1.30903,0.0,0.0,0.0,0.0,0.0
HD-62,0.0,0.0,0.12292999999999998,79.27204,0.0,0.0,0.00589,17.489259999999998,0.0,2.726080000000001,0.0,0.02487,0.0,0.35888000000000003,0.0
HD-63,0.0,0.0,0.37142000000000003,55.526909999999994,0.0,0.0,0.00657,43.118300000000005,0.0,0.9452900000000002,0.0,0.0,0.0,0.03152,0.0
HD-64,0.0,0.0,0.45610000000000006,92.96849000000002,0.0,0.0,0.0,4.395310000000001,0.02447,2.1532400000000007,0.0,0.0,0.0,0.00234,0.0
HD-65,0.0,0.0,0.44666,49.31566000000001,0.0,0.0,0.0,47.19738,0.04339,2.9432600000000004,0.0,0.0,0.0,0.05363,0.0
HD-66,0.392,0.0,0.39289999999999997,59.32557000000001,0.0,0.0,0.01045,36.37570000000001,0.00629,2.74916,0.0,0.0,0.0,0.7478600000000001,0.0
HD-67,0.0,0.0,0.24254,48.27152,0.0,0.00447,0.00586,49.85643000000001,0.0,1.5009400000000002,0.0,0.0,0.0,0.11825999999999999,0.0
HD-68,0.0,0.0,2.02392,56.71195000000001,0.0,0.0,0.0,39.34471,0.04392,1.8754800000000003,0.0,0.0,0.0,0.0,0.0
HD-69,0.0,0.0,0.23028,70.28645999999999,0.0,0.0,0.0,23.72481,1.9542199999999998,3.80425,0.0,0.0,0.0,0.0,0.0
HD-6,0.0,0.0,0.09179,52.2655,0.0,0.0,0.0,46.99669000000001,0.0,0.60734,0.0,0.03808,0.0,0.00057,0.0
HD-70,0.0,0.0,1.8631600000000001,88.92917999999999,0.0,0.0,0.0,8.31129,0.00314,0.8932300000000001,0.0,0.0,0.0,0.0,0.0
HD-71,0.0,0.0,0.21659999999999996,71.44394000000001,0.0,0.0,0.0,26.336150000000004,0.02095,1.98235,0.0,0.0,0.0,0.0,0.0
HD-72,0.0,0.0,0.27658999999999995,61.21902999999999,0.0,0.0,0.00765,36.259670000000014,0.0059700000000000005,2.23109,0.0,0.0,0.0,0.0,0.0
HD-73,0.0,0.0,0.74894,73.17479000000002,0.0,0.0,0.0,23.628899999999998,0.02999,2.41737,0.0,0.0,0.0,0.0,0.0
HD-74,0.0,0.0,0.63814,50.41132999999999,0.0,0.0,0.0,46.66814000000001,0.01379,2.2671200000000007,0.0,0.0,0.0,0.00149,0.0
HD-75,0.0,0.0,2.7742199999999997,62.692789999999995,0.0,0.0,0.0,28.641989999999996,2.26377,3.62723,0.0,0.0,0.0,0.0,0.0
HD-76,0.0,0.0,0.05016,86.95629000000001,0.0,0.0,0.0,2.6417300000000004,0.057909999999999996,10.293910000000002,0.0,0.0,0.0,0.0,0.0
HD-77,0.0,0.0,5.4547,42.530170000000005,0.00294,0.0,0.0,50.26820000000001,0.00922,1.7347800000000004,0.0,0.0,0.0,0.0,0.0
HD-78,0.0,0.0,0.15480000000000002,77.08867000000001,0.0,0.0,0.0,18.86879,0.007090000000000001,3.8806400000000005,0.0,0.0,0.0,0.0,0.0
HD-79,0.01198,0.0,1.41932,52.09014,0.0,0.0,0.0,39.63556000000001,0.77161,6.001709999999997,0.0,0.0082,0.0,0.06143,0.0
HD-7,0.0,0.0,0.51513,66.27891999999999,0.0,0.0,0.0,28.16611000000001,0.20534999999999998,4.82054,0.0,0.0,0.0,0.013919999999999998,0.0
HD-80,0.0,0.0,0.25805,70.49347,0.0,0.0,0.0,26.00095,0.62121,2.6213100000000003,0.0,0.0,0.0,0.005,0.0
HD-81,0.0,0.0,0.23693,48.56735,0.0,0.0,0.0,45.13687,0.08902,3.56513,0.0,0.0,0.0,2.40472,0.0
HD-82,0.0,0.0,0.22122999999999998,56.80537,0.0,0.0,0.0,27.58146,0.8998899999999999,14.49208,0.0,0.0,0.0,0.0,0.0
HD-83,0.0,0.0,13.73416,42.339019999999984,0.0,0.0,0.0,40.042849999999994,0.05934,3.81839,0.0,0.0,0.0,0.00626,0.0
HD-8,0.0,0.0,4.10324,46.095049999999986,0.0,0.0,0.0033399999999999997,48.26555,0.0,1.3023299999999998,0.0,0.0,0.0,0.23046999999999998,0.0
HD-9,0.0,0.0,1.64436,77.87729999999999,0.0,0.0,0.0,15.868989999999997,0.0,2.2063200000000003,0.0,0.0,0.0,2.40305,0.0
HV-10,0.0,0.0,0.23287,50.412409999999994,0.0,0.0,0.0,41.398129999999995,0.0,7.68931,0.0,0.0,0.0,0.26726,0.0
HV-11,0.009040000000000001,0.0,0.36278,40.73521,0.0,0.0,0.0,48.84710999999999,5.21404,4.8318,0.0,0.0,0.0,0.0,0.0
HV-12,0.0,0.0,0.9255500000000001,69.94632,0.0,0.0,0.0,27.07013,0.054329999999999996,2.00368,0.0,0.0,0.0,0.0,0.0
HV-13,0.0,0.0,0.03473,63.92232,0.0,0.0,0.0,35.216779999999986,0.25493000000000005,0.57119,0.0,0.0,0.0,0.0,0.0
HV-14,0.0,0.0,0.07334,39.23537,0.0,0.0,0.0,58.209779999999995,0.0,2.4815099999999997,0.0,0.0,0.0,0.0,0.0
HV-15,0.0,0.0,0.17520000000000002,83.06810000000002,0.0,0.0,0.0,16.28764,0.0,0.44016999999999995,0.0,0.0,0.0,0.02889,0.0
HV-16,0.0,0.0,0.01388,79.80512999999999,0.0,0.0,0.0,19.382519999999996,0.008,0.79047,0.0,0.0,0.0,0.0,0.0
HV-17,0.0,0.0,0.28281,91.86827,0.0,0.0,0.0,6.27558,0.00974,1.55924,0.0,0.004379999999999999,0.0,0.0,0.0
HV-18,0.0,0.01571,0.5500799999999999,76.83672999999999,0.0,0.0,0.0,20.519439999999996,0.0,2.07805,0.0,0.0,0.0,0.0,0.0
HV-19,0.0,0.0,0.03987,45.455870000000004,0.0,0.0,0.0,43.246570000000006,0.4094,10.848289999999999,0.0,0.0,0.0,0.0,0.0
HV-1,0.0,0.0,0.24383,16.241819999999997,0.0,0.0,0.0,81.57859000000002,0.5214,1.41438,0.0,0.0,0.0,0.0,0.0
HV-20,0.0,0.0,1.0868799999999998,49.48671,0.0,0.0,0.0,44.44496,0.5232600000000001,3.51881,0.0,0.0,0.0,0.93935,0.0
HV-21,0.0,0.0,0.25669000000000003,58.872899999999994,0.0,0.0,0.0,34.08956999999999,0.02327,6.757549999999999,0.0,0.0,0.0,0.0,0.0
HV-22,0.0,0.0,0.02665,61.703999999999986,0.0,0.0,0.0,36.278990000000015,0.09117,1.8992,0.0,0.0,0.0,0.0,0.0
HV-23,0.0,0.0,0.27763,49.40281999999999,0.0,0.0,0.0,45.93731,1.4987,2.7155500000000004,0.0,0.16801,0.0,0.0,0.0
HV-24,0.009909999999999999,0.0,0.89867,46.31253999999999,0.0,0.0,0.0,43.24934,1.845,7.6845799999999995,0.0,0.0,0.0,0.0,0.0
HV-25,0.0,0.0,0.12405999999999999,75.91618,0.0,0.0,0.0,20.192109999999996,0.20498000000000002,3.4939799999999996,0.0,0.0,0.0,0.06869,0.0
HV-26,0.27082,0.0,2.98733,45.62039000000001,0.00201,0.0,0.0,40.28333,0.01878,10.457619999999999,0.0,0.0,0.0,0.35971,0.0
HV-27,0.0,0.0,9.22603,34.42477999999999,0.0,0.0,0.0,36.91186,12.266800000000002,7.1705499999999995,0.0,0.0,0.0,0.0,0.0
HV-28,0.0,0.0,4.42931,51.764,0.0,0.0,0.01804,41.90852,0.0,1.85376,0.0,0.0,0.0,0.02638,0.0
HV-29,0.0,0.0,0.7307600000000001,23.95040000000001,0.0,0.0,0.0,73.29780999999998,0.47546000000000005,1.54339,0.0,0.0,0.0,0.00216,0.0
HV-2,0.0,0.0,0.08451,53.08976999999998,0.0,0.0,0.0,40.8931,1.90432,4.02683,0.0,0.0,0.0,0.00149,0.0
HV-30,0.0,0.0,0.034210000000000004,80.70654,0.0,0.0,0.0,15.733270000000001,0.00978,3.51625,0.0,0.0,0.0,0.0,0.0
HV-31,0.0,0.0,0.54679,56.521109999999986,0.0,0.0,0.0,42.04644,0.0,0.8856500000000002,0.0,0.0,0.0,0.0,0.0
HV-3,0.0,0.0,0.06124,78.38740000000003,0.0,0.0,0.0,17.876549999999995,1.02874,2.6460899999999996,0.0,0.0,0.0,0.0,0.0
HV-4,0.0,0.0,0.9681900000000001,49.88705999999999,0.0,0.0,0.0,47.84979,0.0,1.29498,0.0,0.0,0.0,0.0,0.0
HV-5,0.0,0.0,0.07551,81.01728999999997,0.0,0.0,0.0,16.243269999999995,0.20205,2.4619099999999996,0.0,0.0,0.0,0.0,0.0
HV-6,0.0,0.0,0.41686,39.43494999999999,0.0,0.0,0.0,54.202450000000006,0.0,5.9321399999999995,0.0,0.00451,0.0,0.00908,0.0
HV-7,0.0,0.0,0.80778,57.885859999999994,0.0,0.0,0.0,34.27661,0.0,1.23399,0.0,0.0,0.0,5.79576,0.0
HV-8,1.3349600000000001,0.0,0.62881,45.071369999999995,0.0,0.0,0.0,48.78976,0.0,3.0282700000000005,0.0,0.0,0.0,1.14687,0.0
HV-9,0.0,0.0,0.01976,80.23474,0.0,0.0,0.0,19.134599999999995,0.0,0.6109099999999998,0.0,0.0,0.0,0.0,0.0
LD-10,0.0,0.0,0.23932000000000003,65.23998999999998,0.0,0.0,0.0,22.708200000000005,0.5277499999999999,11.28364,0.0,0.0,0.0,0.0011099999999999999,0.0
LD-11,0.0,0.0,0.11738999999999998,53.50149000000001,0.0,0.0,0.0,45.67143,0.0,0.66314,0.0,0.044910000000000005,0.0,0.0016600000000000002,0.0
