SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria,k__Archaea|p__Euryarchaeota|c__Methanococci,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Aquificae|c__Aquificae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlamydiae|c__Chlamydiia,k__Bacteria|p__Chlorobi|c__Chlorobia,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,k__Bacteria|p__Firmicutes|c__Negativicutes,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__Spirochaetia,k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes,k__Eukaryota|p__Ascomycota|c__Saccharomycetes
MH0002,0.0,0.0,0.00445,1.3528,0.0,31.467690000000005,0.0,0.0,0.0,0.0,0.0,0.00967,0.18905,60.83633999999998,0.08442999999999999,0.020280000000000003,0.0,0.0,0.36796999999999996,0.14525000000000002,0.0,0.47839,0.0,0.0,0.0,5.04371,0.0,0.0
MH0003,0.0,0.0,0.0,1.1838400000000004,0.0,27.636210000000005,0.0,0.0,0.0,0.0,0.0,0.02036,15.64664,49.03158,0.02321,5.2047500000000015,0.0,0.0,0.13232,0.78816,0.0,0.33293,0.0,0.0,0.0,0.0,0.0,0.0
MH0006,0.0,0.0,0.00225,0.19729,0.0,56.83830999999999,0.0,0.0,0.0,0.0,0.0,0.03431,0.12089000000000001,35.52873999999999,0.61281,5.81507,0.0,0.006690000000000001,0.28568000000000005,0.53384,0.0,0.01233,0.0,0.0,0.0,0.01181,0.0,0.0
MH0009,0.27929,0.0,0.01187,0.4523699999999999,0.0,20.71868999999999,0.0,0.02453,0.007240000000000001,0.0,0.0,0.025830000000000002,0.11851,65.29779000000002,0.9213,8.35036,0.0,0.0,0.36578,0.32836000000000004,0.0,1.5107899999999999,0.0,0.0,0.0,1.58443,0.0,0.00286
MH0011,4.0086,0.01828,0.0,1.4940199999999997,0.0,38.6653,0.02555,0.0,0.0,0.0,0.0,0.04231,0.26180000000000003,46.938419999999994,1.3301,0.22216000000000002,0.0,0.0,0.2128,1.14875,0.0,0.029979999999999996,0.0,0.0,0.0,5.60197,0.0,0.0
MH0012,0.43068,0.0,0.0026100000000000003,4.25951,0.0,41.70652,0.0,0.0,0.0,0.0,0.0,0.05671,0.020169999999999997,40.806039999999996,1.03133,3.9560199999999996,0.0,0.0,0.88967,0.5462199999999999,0.00247,1.22488,0.0,0.0,0.0,5.06686,0.0,0.00031
MH0014,0.06246,0.0,0.00979,0.41779,0.0,30.955230000000004,0.00644,0.01365,0.0,0.0,0.0,0.01705,0.014960000000000001,41.89683,0.14835,0.26691000000000004,0.0,0.0,0.27716,0.11788,0.0,25.611019999999996,0.0,0.0,0.0,0.1845,0.0,0.0
MH0016,0.00236,0.0,0.0,0.3809,0.0,56.67576999999999,0.01856,0.12577,0.0,0.0,0.0,0.0,0.09102,41.598220000000005,0.11904,0.10091,0.0,0.0,0.39387,0.40917,0.0,0.01914,0.0,0.0,0.00852,0.05678,0.0,0.0
MH0020,0.0,0.0,0.0,2.5035999999999996,0.0,67.28198,0.01326,0.01668,0.0,0.0,0.0,0.01756,0.017920000000000002,22.067190000000004,0.07223,6.015830000000001,0.0,0.0,0.76291,1.22523,0.0,0.00564,0.0,0.0,0.0,0.0,0.0,0.0
MH0021,0.12352,0.0,0.0,1.5367300000000002,0.0,42.90053,0.0,0.0,0.0,0.0,0.0,0.0,0.17842,45.75057999999999,0.03687,5.81178,0.0,0.0,2.64597,0.38785000000000003,0.0,0.0,0.0077,0.0,0.0,0.6029899999999999,0.0,0.01704
MH0024,0.1179,0.0,0.00613,0.12392000000000002,0.0,67.96607,0.0,0.0,0.0,0.0,0.0,0.033319999999999995,0.018459999999999997,31.02238,0.048709999999999996,0.59489,0.0,0.0,0.01159,0.0,0.0,0.03431,0.0,0.0,0.0,0.021830000000000002,0.0,0.00047999999999999996
MH0025,0.5191399999999999,0.0,0.13149,3.5316700000000005,0.0,31.808970000000006,0.0,0.026810000000000004,0.0,0.0,0.0,0.025230000000000002,0.22966999999999999,47.322579999999995,0.72504,0.14319,0.0,0.0,0.38727999999999996,0.5360699999999999,0.0,11.1914,0.15192999999999998,0.0,0.0,3.26953,0.0,0.0
MH0026,0.0,0.0,0.0,0.59402,0.0,63.522049999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.01121,34.69164000000001,0.24897000000000002,0.07516,0.0,0.0322,0.44841000000000003,0.12055,0.0,0.0,0.0,0.0,0.0,0.25579,0.0,0.0
MH0028,0.06227,0.0,0.0053100000000000005,1.09483,0.0,64.33294000000001,0.00872,0.07237,0.0,0.0,0.0,0.0,0.0076,30.56791,0.18121,0.19161999999999998,0.0,0.0,0.33607000000000004,0.6200500000000001,0.0,1.95299,0.0,0.0,0.0,0.56608,0.0,0.0
MH0030,0.10206,0.00968,0.0,1.1848999999999998,0.0,14.694700000000001,0.0,0.0,0.0,0.0,0.01026,0.026889999999999997,0.9843099999999999,77.45547,2.66797,1.8881700000000001,0.0,0.0,0.5253099999999999,0.37959,0.0,0.06432,0.0,0.0,0.0,0.0,0.0,0.006409999999999999
MH0031,0.28777,0.0,0.0,1.2867000000000002,0.0,21.614320000000003,0.0,0.0,0.0,0.0,0.0,0.010320000000000001,0.12982,73.81759999999998,0.75918,0.97321,0.0,0.0282,0.37940999999999997,0.02085,0.0,0.23185,0.0,0.0,0.0,0.44585,0.0,0.014910000000000001
MH0032,0.009250000000000001,0.0,0.0063100000000000005,0.42831,0.0,71.11797,0.0,0.0,0.0,0.0,0.0,0.01372,0.08098,24.94183,0.23108,2.4289899999999998,0.0,0.0,0.5902,0.036710000000000007,0.0,0.05864,0.0,0.0,0.0,0.05595,0.0,0.0
MH0033,0.11188,0.0,0.0,0.8761099999999999,0.0,30.166999999999994,0.01775,0.069,0.0,0.0,0.0,0.01176,0.13697,61.24457000000001,0.06394,6.08244,0.0,0.0,0.05738000000000001,0.52802,0.0,0.6221399999999999,0.0,0.0,0.0,0.01103,0.0,0.0
MH0034,0.0,0.0,0.0,0.16419999999999998,0.0,79.20989,0.052000000000000005,0.04448,0.0,0.0,0.0,0.011479999999999999,0.06375,16.234559999999995,0.009260000000000001,3.4671499999999993,0.0,0.0,0.62575,0.11526,0.0,0.0,0.00224,0.0,0.0,0.0,0.0,0.0
MH0035,0.07484999999999999,0.0,0.0,2.6942299999999997,0.0,40.5769,0.03128,0.01674,0.0,0.0,0.0,0.0,0.9516300000000001,41.440749999999994,0.01575,8.688349999999998,0.0,0.0,0.09559,0.35365,0.0,0.33810999999999997,0.00271,0.0,0.0016600000000000002,4.71777,0.0,0.0
MH0036,0.11284,0.0,0.04446,0.06246,0.0,39.8256,0.0,0.0,0.0,0.0,0.0,0.02418,0.01335,45.46390999999999,2.06623,12.12241,0.0,0.0,0.03257,0.14797,0.0,0.07782,0.0,0.0,0.0,0.006220000000000001,0.0,0.0
MH0037,0.0,0.0,0.00725,0.46382,0.0,45.93667999999999,0.0,0.0033399999999999997,0.0,0.0,0.0,0.047330000000000004,0.12267,30.358560000000004,0.04519,15.133400000000002,0.0,0.0,1.32397,0.0,0.0,0.38044,0.0,0.0,0.0,6.176740000000001,0.0,0.00057
MH0038,0.0,0.0,0.018609999999999998,0.90523,0.0,43.30503,0.02036,0.038439999999999995,0.0,0.0,0.0,0.03372,0.04015,53.992039999999996,0.11511999999999999,0.43422,0.0,0.0,0.6719899999999999,0.11785999999999999,0.0,0.30082,0.0,0.0,0.00343,0.003,0.0,0.0
MH0039,0.00727,0.0,0.0231,1.16263,0.0,59.39449,0.11379,0.0,0.0,0.0,0.0,0.02513,0.0057,32.35594,1.1023500000000002,3.2942100000000005,0.0,0.0,2.0529199999999994,0.22013999999999997,0.0,0.00847,0.0,0.0,0.0,0.23388,0.0,0.0
MH0040,0.0,0.0,0.0139,0.82257,0.0,43.025569999999995,0.01141,0.0,0.0,0.0,0.0,0.10583,0.30929000000000006,45.612100000000005,0.0526,9.24698,0.0,0.0,0.0418,0.0,0.0,0.040310000000000006,0.0,0.0,0.0,0.71763,0.0,0.0
MH0041,0.0,0.0,0.01208,9.399009999999999,0.0,35.47237000000001,0.0,0.0,0.0,0.0,0.0,0.00657,0.35884,40.466170000000005,1.4703300000000001,10.108130000000003,0.0,0.0,1.48038,0.9368099999999999,0.0,0.16076,0.0,0.0,0.0,0.12850999999999999,0.0,0.0
MH0042,0.19762999999999997,0.0045,0.00575,4.96153,0.0,32.57122,0.0,0.02029,0.0013800000000000002,0.0,0.0,0.07503,0.00075,57.10696000000001,0.10808000000000001,3.2951699999999997,0.0,0.0,0.35585,0.1688,0.0,0.15331,0.0,0.0,0.0,0.9737399999999999,0.0,0.0
MH0043,0.0,0.0,0.01445,0.8933800000000001,0.0,45.80647000000001,0.015369999999999998,0.0,0.00035,0.0,0.0,0.0576,0.02796,46.74727,0.02364,4.295629999999999,0.0,0.0,0.44079,0.25701,0.0,0.29947,0.0,0.0,0.0,1.1206200000000002,0.0,0.0
MH0044,0.0,0.0,0.00663,0.8074699999999999,0.0,24.635539999999992,0.0074,0.00911,0.0,0.0,0.0,0.01961,0.01644,69.9388,0.03511,4.21676,0.0,0.00395,0.07239999999999999,0.20387,0.0,0.017,0.0,0.0,0.0,0.0077599999999999995,0.0,0.00215
MH0045,0.0,0.0,0.0,0.7379099999999998,0.0,50.356410000000004,0.05107,0.030969999999999998,0.0,0.0,0.0,0.0,0.12924,41.93463,0.12329999999999999,4.8582600000000005,0.0,0.0,0.94092,0.5590099999999999,0.0,0.051620000000000006,0.0,0.0,0.0,0.22669,0.0,0.0
MH0046,0.0,0.0,0.00848,0.24669999999999997,0.0,47.65771999999999,0.02785,0.04415,0.0,0.0,0.0,0.00922,0.05784,42.09435999999999,0.85729,6.165030000000001,0.0,0.0,1.44038,1.05044,0.0,0.23203,0.0,0.0,0.0,0.09589,0.0,0.01261
MH0047,0.0,0.0,0.0,0.88496,0.0,58.24044,0.02157,0.0,0.0,0.0,0.0,0.0,0.09639000000000002,35.17495,1.5508399999999998,3.38282,0.0,0.0,0.17741,0.41901,0.0,0.05159,0.0,0.0,0.0,0.0,0.0,0.0
MH0048,0.0,0.0,0.0,2.3577000000000004,0.0,35.887829999999994,0.0,0.0,0.0,0.0,0.0,0.01143,0.04463,57.95560999999999,0.7730600000000001,0.29758999999999997,0.0,0.0,0.11903,0.83457,0.0,0.0,0.02607,0.0,0.0,1.69251,0.0,0.0
MH0049,0.0,0.0,0.0,0.5633699999999999,0.0,53.55285000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.024329999999999997,24.86557,0.01547,17.29657,0.0,0.0,3.46259,0.1961,0.0,0.02312,0.0,0.0,0.0,0.0,0.0,0.0
MH0050,0.10727,0.0,0.0,1.29953,0.0,34.00799,0.06848,0.01624,0.0,0.0,0.0,0.02592,0.21270999999999998,61.179940000000016,0.74127,0.10461999999999999,0.0,0.0,0.5101500000000001,0.16341,0.0,0.044660000000000005,0.0,0.0,0.0,1.51775,0.0,0.0
MH0051,0.07591,0.0,0.00872,0.11715,0.0,42.07914,0.01432,0.02281,0.0,0.0,0.0,0.00949,0.0182,50.95674000000002,1.26403,4.1374200000000005,0.0,0.0,0.9797600000000001,0.28115,0.0,0.00417,0.0,0.0,0.0,0.031,0.0,0.0
MH0052,0.16507,0.0,0.01153,0.47030000000000005,0.0,23.03407,0.0,0.0,0.0,0.0,0.0,0.0,0.32097000000000003,65.74884,0.05724,6.9520599999999995,0.0,0.0,1.8242,1.11167,0.0,0.30407,0.0,0.0,0.0,0.0,0.0,0.0
MH0053,0.29596999999999996,0.0,0.0,3.26289,0.0,11.0426,0.0,0.0,0.0,0.0,0.0,0.0085,0.2279,77.17201000000001,3.30155,4.058069999999999,0.0,0.0,0.35108,0.20999,0.0,0.05807,0.0,0.0,0.0,0.0,0.0,0.01138
MH0054,0.10813,0.0,0.01178,1.81107,0.0,25.797050000000002,0.00967,0.0,0.0,0.0,0.0,0.038419999999999996,0.01828,56.879900000000006,0.21253000000000002,2.01641,0.0,0.0,2.8346600000000004,0.0,0.0,1.01169,0.0,0.0,0.0,9.25039,0.0,0.0
MH0055,0.0,0.0,0.0,1.05983,0.0,45.990710000000014,0.0,0.024659999999999998,0.0,0.0,0.0,0.01896,0.15508,44.740260000000006,0.6089800000000001,5.07917,0.0,0.0,1.9354500000000003,0.03162,0.0,0.35527,0.0,0.0,0.0,0.0,0.0,0.0
MH0056,0.48762000000000005,0.0042899999999999995,0.00548,1.23744,0.0,27.324499999999993,0.026969999999999997,0.020390000000000002,0.0,0.00365,0.0,0.047639999999999995,0.06329,68.19777,0.0871,0.14245000000000002,0.0,0.0,0.33453,0.7537100000000001,0.07622999999999999,1.1451799999999999,0.0,0.0,0.0,0.0332,0.0,0.00859
MH0057,0.0,0.0,0.0,0.37443,0.0,58.655919999999995,0.20344,0.0184,0.0,0.0,0.0,0.04779,0.006999999999999999,23.096749999999997,0.38712,14.21057,0.0,0.0,2.25718,0.6390299999999999,0.0,0.00921,0.0,0.0,0.0,0.0932,0.0,0.0
MH0058,0.04619,0.0,0.0,0.8169500000000001,0.0,48.07126,0.04997,0.0,0.0,0.0,0.00421,0.02758,0.32249999999999995,42.4109,0.06031999999999999,3.12412,0.0,0.0,3.24362,0.39464000000000005,0.0,0.27852,0.0,0.0,0.0,1.14848,0.0,0.00078
MH0059,0.0035299999999999997,0.0,0.0,2.4236899999999997,0.0,30.8763,0.0,0.00271,0.0,0.0,0.0,0.006370000000000001,0.05126,56.78637000000001,2.01499,3.73161,0.0,0.01235,1.8935500000000003,0.02833,0.0,0.43056,0.0,0.0,0.0,1.73839,0.0,0.0
MH0060,0.6451600000000001,0.00743,0.0,1.06436,0.0,20.457440000000005,0.0,0.0,0.0,0.0,0.0,0.03095,0.01038,54.51298,1.35339,4.78304,0.0,0.0,0.80204,0.19204,0.0,0.06499,0.0,0.0,0.0,16.07583,0.0,0.0
MH0061,0.0,0.0,0.01553,0.08659000000000001,0.0,72.01401,0.031869999999999996,0.04626,0.0,0.0,0.0,0.016890000000000002,0.04224,19.47269,0.09279000000000001,6.84543,0.00271,0.0,0.0,0.33421,0.0,0.99879,0.0,0.0,0.0,0.0,0.0,0.0
MH0062,0.0,0.0,0.0,3.2520999999999995,0.0,28.768900000000006,0.0,0.0,0.0,0.0,0.0,0.00644,0.01226,57.48081000000002,0.18526999999999996,6.5117199999999995,0.31251999999999996,0.0,2.6743,0.6600100000000001,0.0,0.12678,0.0,0.0,0.0,0.0,0.0,0.008870000000000001
MH0063,0.18231999999999998,0.0,0.0,0.54991,0.0,37.40213,0.0,0.04033,0.0,0.0,0.0,0.03218,0.07302,58.09351,0.9863399999999999,1.9422600000000003,0.0,0.0,0.38641,0.06357,0.0,0.0,0.24806,0.0,0.0,0.0,0.0,0.0
MH0064,0.0,0.0,0.02014,0.6442000000000001,0.0,62.57069999999999,0.00827,0.0,0.0,0.0,0.0,0.02738,0.12983,25.527779999999996,0.01817,9.00067,0.0,0.0,1.1461800000000002,0.22349999999999998,0.0,0.04196999999999999,0.0,0.0,0.0,0.6402399999999999,0.0,0.00095
MH0065,1.2384600000000001,0.01153,0.007370000000000001,0.35848,0.01344,42.51638999999999,0.03628,0.0,0.0,0.0,0.0,0.06408,0.10152000000000001,52.78350999999999,1.22722,0.46463,0.0,0.0,1.09398,0.0161,0.0,0.02778,0.0,0.0,0.0,0.03927,0.0,0.0
MH0066,0.16828,0.0,0.0,4.35487,0.0,45.883019999999995,0.0,0.0,0.0,0.0,0.0,0.047439999999999996,0.00571,45.76162,0.034629999999999994,0.08528,0.0,0.0,0.60072,0.59254,0.0,0.03681,0.0,0.0,0.0,2.42909,0.0,0.0
MH0067,0.0,0.0,0.00527,1.00452,0.0,60.51661999999999,0.08651,0.0,0.0,0.0,0.0,0.00573,0.033530000000000004,30.83712,0.0346,4.570939999999999,0.0,0.0,2.47908,0.3154,0.0,0.0,0.0,0.0,0.0,0.11026,0.0,0.00041
