SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Aquificae,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Chlamydiae,k__Bacteria|p__Chlorobi,k__Bacteria|p__Deinococcus_Thermus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Synergistetes,k__Bacteria|p__Tenericutes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota
MH0002,0,0.00445,1.3528,0,31.46769,0,0,0,0.00967,61.1301,0,0.99161,0,0,0,5.04371,0
MH0003,0,0,1.18384,0,27.63621,0,0,0,0.02036,69.90618,0,1.25341,0,0,0,0,0
MH0006,0,0.00225,0.19729,0,56.83831,0,0,0,0.03431,42.07751,0,0.83854,0,0,0,0.01181,0
MH0009,0.27929,0.01187,0.45237,0,20.74322,0.00724,0,0,0.02583,74.68796,0,2.20493,0,0,0,1.58443,0.00286
MH0011,4.02688,0,1.49402,0,38.69085,0,0,0,0.04231,48.75248,0,1.39153,0,0,0,5.60197,0
MH0012,0.43068,0.00261,4.25951,0,41.70652,0,0,0,0.05671,45.81356,0,2.66324,0,0,0,5.06686,0.00031
MH0014,0.06246,0.00979,0.41779,0,30.97532,0,0,0,0.01705,42.32705,0,26.00606,0,0,0,0.1845,0
MH0016,0.00236,0,0.3809,0,56.8201,0,0,0,0,41.90919,0,0.82218,0,0,0.00852,0.05678,0
MH0020,0,0,2.5036,0,67.31192,0,0,0,0.01756,28.17317,0,1.99378,0,0,0,0,0
MH0021,0.12352,0,1.53673,0,42.90053,0,0,0,0,51.77765,0,3.03382,0.0077,0,0,0.60299,0.01704
MH0024,0.1179,0.00613,0.12392,0,67.96607,0,0,0,0.03332,31.68444,0,0.0459,0,0,0,0.02183,0.00048
MH0025,0.51914,0.13149,3.53167,0,31.83578,0,0,0,0.02523,48.42048,0,12.11475,0.15193,0,0,3.26953,0
MH0026,0,0,0.59402,0,63.52205,0,0,0,0,35.02698,0,0.60116,0,0,0,0.25579,0
MH0028,0.06227,0.00531,1.09483,0,64.41403,0,0,0,0,30.94834,0,2.90911,0,0,0,0.56608,0
MH0030,0.11174,0,1.1849,0,14.6947,0,0,0.01026,0.02689,82.99592,0,0.96922,0,0,0,0,0.00641
MH0031,0.28777,0,1.2867,0,21.61432,0,0,0,0.01032,75.67981,0,0.66031,0,0,0,0.44585,0.01491
MH0032,0.00925,0.00631,0.42831,0,71.11797,0,0,0,0.01372,27.68288,0,0.68555,0,0,0,0.05595,0
MH0033,0.11188,0,0.87611,0,30.25375,0,0,0,0.01176,67.52792,0,1.20754,0,0,0,0.01103,0
MH0034,0,0,0.1642,0,79.30637,0,0,0,0.01148,19.77472,0,0.74101,0.00224,0,0,0,0
MH0035,0.07485,0,2.69423,0,40.62492,0,0,0,0,51.09648,0,0.78735,0.00271,0,0.00166,4.71777,0
MH0036,0.11284,0.04446,0.06246,0,39.8256,0,0,0,0.02418,59.6659,0,0.25836,0,0,0,0.00622,0
MH0037,0,0.00725,0.46382,0,45.94002,0,0,0,0.04733,45.65982,0,1.70441,0,0,0,6.17674,0.00057
MH0038,0,0.01861,0.90523,0,43.36383,0,0,0,0.03372,54.58153,0,1.09067,0,0,0.00343,0.003,0
MH0039,0.00727,0.0231,1.16263,0,59.50828,0,0,0,0.02513,36.7582,0,2.28153,0,0,0,0.23388,0
MH0040,0,0.0139,0.82257,0,43.03698,0,0,0,0.10583,55.22097,0,0.08211,0,0,0,0.71763,0
MH0041,0,0.01208,9.39901,0,35.47237,0,0,0,0.00657,52.40347,0,2.57795,0,0,0,0.12851,0
MH0042,0.20213,0.00575,4.96153,0,32.59151,0.00138,0,0,0.07503,60.51096,0,0.67796,0,0,0,0.97374,0
MH0043,0,0.01445,0.89338,0,45.82184,0.00035,0,0,0.0576,51.0945,0,0.99727,0,0,0,1.12062,0
MH0044,0,0.00663,0.80747,0,24.65205,0,0,0,0.01961,74.20711,0,0.29722,0,0,0,0.00776,0.00215
MH0045,0,0,0.73791,0,50.43845,0,0,0,0,47.04543,0,1.55155,0,0,0,0.22669,0
MH0046,0,0.00848,0.2467,0,47.72972,0,0,0,0.00922,49.17452,0,2.72285,0,0,0,0.09589,0.01261
MH0047,0,0,0.88496,0,58.26201,0,0,0,0,40.205,0,0.64801,0,0,0,0,0
MH0048,0,0,2.3577,0,35.88783,0,0,0,0.01143,59.07089,0,0.9536,0.02607,0,0,1.69251,0
MH0049,0,0,0.56337,0,53.55285,0,0,0,0,42.20194,0,3.68181,0,0,0,0,0
MH0050,0.10727,0,1.29953,0,34.09271,0,0,0,0.02592,62.23854,0,0.71822,0,0,0,1.51775,0
MH0051,0.07591,0.00872,0.11715,0,42.11627,0,0,0,0.00949,56.37639,0,1.26508,0,0,0,0.031,0
MH0052,0.16507,0.01153,0.4703,0,23.03407,0,0,0,0,73.07911,0,3.23994,0,0,0,0,0
MH0053,0.29597,0,3.26289,0,11.0426,0,0,0,0.0085,84.75953,0,0.61914,0,0,0,0,0.01138
MH0054,0.10813,0.01178,1.81107,0,25.80672,0,0,0,0.03842,59.12712,0,3.84635,0,0,0,9.25039,0
MH0055,0,0,1.05983,0,46.01537,0,0,0,0.01896,50.58349,0,2.32234,0,0,0,0,0
MH0056,0.49191,0.00548,1.23744,0,27.37186,0,0.00365,0,0.04764,68.49061,0,2.30965,0,0,0,0.0332,0.00859
MH0057,0,0,0.37443,0,58.87776,0,0,0,0.04779,37.70144,0,2.90542,0,0,0,0.0932,0
MH0058,0.04619,0,0.81695,0,48.12123,0,0,0.00421,0.02758,45.91784,0,3.91678,0,0,0,1.14848,0.00078
MH0059,0.00353,0,2.42369,0,30.87901,0,0,0,0.00637,62.58423,0,2.36479,0,0,0,1.73839,0
MH0060,0.65259,0,1.06436,0,20.45744,0,0,0,0.03095,60.65979,0,1.05907,0,0,0,16.07583,0
MH0061,0,0.01553,0.08659,0,72.09214,0,0,0,0.01689,26.45315,0.00271,1.333,0,0,0,0,0
MH0062,0,0,3.2521,0,28.7689,0,0,0,0.00644,64.19006,0.31252,3.46109,0,0,0,0,0.00887
MH0063,0.18232,0,0.54991,0,37.44246,0,0,0,0.03218,61.09513,0,0.44998,0.24806,0,0,0,0
MH0064,0,0.02014,0.6442,0,62.57897,0,0,0,0.02738,34.67645,0,1.41165,0,0,0,0.64024,0.00095
MH0065,1.24999,0.00737,0.35848,0.01344,42.55267,0,0,0,0.06408,54.57688,0,1.13786,0,0,0,0.03927,0
MH0066,0.16828,0,4.35487,0,45.88302,0,0,0,0.04744,45.88724,0,1.23007,0,0,0,2.42909,0
MH0067,0,0.00527,1.00452,0,60.60313,0,0,0,0.00573,35.47619,0,2.79448,0,0,0,0.11026,0.00041
MH0068,0,0,1.17024,0,48.9224,0,0,0,0.00973,47.84384,0,1.73437,0,0,0,0.31457,0.00487
MH0069,0,0.00315,3.76054,0.003,22.9908,0,0,0,0.00685,72.53854,0,0.69715,0,0,0,0,0
MH0070,0.13679,0,0.67024,0,33.56112,0,0,0,0.02162,63.72341,0,1.75234,0,0,0,0.13446,0
MH0071,0.12814,0,2.40427,0,41.0212,0,0,0.00553,0.00724,52.81145,0,1.5466,0,0,0,2.07555,0
MH0072,0,0.01183,0.92751,0,31.25237,0,0,0,0.01286,63.737,0.00748,4.05094,0,0,0,0,0
MH0073,0,0,1.12105,0,39.24674,0,0,0,0,53.38363,0.01504,6.20523,0,0,0,0.02307,0.00528
MH0074,0,0.04592,1.30436,0,65.08126,0,0,0,0.0111,31.19272,0,2.32051,0,0,0,0.04413,0
MH0075,0.14824,0,1.04168,0,26.02195,0,0,0,0.02531,70.02604,0,2.25766,0,0,0,0.47914,0
MH0076,0,0,0.91798,0,50.21695,0,0,0,0,48.3324,0,0.50115,0,0,0,0.03155,0
MH0077,0.05166,0.00656,0.89606,0,37.28342,0,0,0.00741,0.01941,60.12456,0,1.61094,0,0,0,0,0
MH0078,0.0219,0,0.33397,0,60.62356,0,0,0,0,37.41288,0,1.60491,0,0,0,0,0.0028
MH0079,1.93665,0,0.20347,0,43.79797,0,0,0,0,48.33784,0,5.72407,0,0,0,0,0
MH0080,0,0.00838,0.18743,0,39.67136,0,0,0,0.00911,59.51316,0,0.5261,0,0,0,0.08442,0
MH0081,0.33483,0.01306,0.64362,0,49.55341,0,0,0,0.0213,47.42433,0.00372,1.94921,0,0,0,0.05629,0.00025
MH0082,0.18193,0,0.7084,0,20.30337,0,0,0,0.01427,77.63777,0,1.07208,0,0,0,0.08214,0
MH0083,0,0.0404,1.97201,0,40.17916,0,0,0,0.01883,55.34656,0,2.14825,0,0,0,0.29481,0
MH0084,0,0,0.13522,0,81.33662,0,0,0.01506,0,17.01964,0,1.47299,0,0,0,0.02045,0
MH0085,0,0,0.82528,0,62.25979,0,0,0.00346,0.00453,34.52177,0,2.37898,0,0,0,0,0.00621
MH0086,0,0,9.13448,0,15.33427,0,0,0,0.03615,73.05739,0,2.27715,0,0,0,0.16058,0
O2_UC_11,0.00608,0.00697,11.71861,0,13.2257,0.00176,0,0,0.00758,74.28422,0,0.72534,0,0,0,0,0.0238
O2_UC_12,4.32401,0.02999,4.06387,0,24.34542,0.00244,0,0,0.06523,65.96941,0,1.19959,0,0,0,0,0
O2_UC_13,0.28484,0.00597,1.00669,0,24.55512,0,0,0,0.01948,73.11814,0,1.00837,0,0,0,0,0.00136
O2_UC_14,1.83355,0,1.61594,0,49.16682,0,0,0,0,46.54881,0,0.83483,0,0,0,0,0
O2_UC_16,0.03931,0,2.49348,0,36.5438,0,0,0,0.01195,60.27994,0,0.6315,0,0,0,0,0
O2_UC_17,0,0,0.60744,0,72.47738,0,0,0,0,25.49597,0,1.41083,0,0,0,0.00837,0
O2_UC_18,0,0,0.30199,0,64.42957,0,0,0,0.00981,30.16485,0,5.09377,0,0,0,0,0
O2_UC_19,0,0,1.95307,0,43.38142,0,0,0,0.061,52.03064,0.03451,2.53939,0,0,0,0,0
O2_UC_1,1.78543,0,1.21672,0,38.7452,0,0,0,0.03373,56.08525,0,2.02176,0,0.01233,0,0.09953,0
O2_UC_20,0,0,6.52686,0,17.7799,0,0,0,0.0372,74.07417,0,1.58186,0,0,0,0,0
O2_UC_21,0,0,3.86824,0,18.41881,0,0,0,0,76.88419,0,0.80443,0,0,0,0.02431,0
O2_UC_22,0,0.02888,6.81569,0,43.3197,0,0,0,0.02512,48.5518,0,1.25881,0,0,0,0,0
O2_UC_23,0,0.03697,10.26974,0,33.73761,0.00227,0,0,0.09046,39.97821,0.79537,7.37549,0,0,0,7.71381,0
O2_UC_24,0.25684,0.01099,2.04497,0,50.89475,0,0,0.00912,0,45.98292,0,0.80038,0,0,0,0,0
O2_UC_4,0,0.02161,0.60417,0,11.67945,0,0,0.00359,0.0141,86.80964,0.00283,0.83742,0,0,0,0.0272,0
V1_CD_11,0,0,0.61302,0,11.72721,0,0.00198,0,0.00646,62.84303,3.54209,21.26621,0,0,0,0,0
V1_CD_12,0,0.01132,0.05086,0,58.76954,0,0,0,0,37.08392,0,4.08366,0,0,0,0,0.00067
V1_CD_13,0.29338,0,3.33385,0,19.59622,0,0,0,0.02574,75.53011,0,1.19916,0,0,0,0.02153,0
V1_CD_14,1.9561,0,0.74537,0,42.85931,0,0,0,0.07603,49.21532,0,2.01722,0,0,0,3.13065,0
V1_CD_15,0,0,5.10145,0,71.87431,0,0,0,0,18.04539,0,4.97882,0,0,0,0,0
V1_CD_1,0,0,1.60265,0,71.43604,0,0,0,0.01047,26.03744,0,0.91335,0,0,0,0,0
V1_CD_2,0.10099,0.02965,0.42268,0,76.45063,0,0,0.00352,0.01382,22.42093,0,0.54986,0,0,0,0.00791,0
V1_CD_3,0,0,5.84303,0,44.82951,0,0,0,0.02317,46.99066,0.00117,2.28402,0,0,0,0.02844,0
V1_CD_4,0,0.00598,3.68019,0,30.09281,0,0,0,0.03252,65.14174,0,0.85152,0,0,0,0.19521,0
V1_CD_6,0,0.02297,0.82338,0,51.5473,0,0,0,0.01521,41.47817,0,5.32084,0,0,0,0.79207,0
V1_CD_8,9.63131,0,1.99987,0,36.74147,0,0,0,0.09953,46.20033,0,0.87665,0,0,0,4.45083,0
V1_CD_9,4.82631,0.04661,0.61697,0,46.25763,0,0,0,0.02028,42.66594,0,1.56963,0,3.68653,0,0.31009,0
V1_UC_10,0.41965,0.02846,1.78015,0,18.5614,0,0,0,0.03095,76.19365,0,1.40983,0,0,0,1.57595,0
V1_UC_13,0,0.01653,14.76418,0,54.62293,0,0,0,0.05392,28.97765,0,1.55868,0,0.00609,0,0,0
V1_UC_14,0.24062,0,22.1595,0.00244,24.39,0,0,0,0.02247,52.17194,0,1.01302,0,0,0,0,0
V1_UC_15,0,0.05261,20.59932,0,33.5073,0.00206,0,0,0.0176,45.3132,0,0.50789,0,0,0,0,0
V1_UC_17,0.07288,0.00775,1.34952,0,35.60064,0,0,0,0.04213,54.63794,3.96092,4.32816,0,0,0,0,0
V1_UC_18,0,0,8.93814,0,48.86731,0.00105,0,0,0.00899,36.68392,0,5.4062,0,0.00887,0,0.08234,0.00317
V1_UC_19,0,0.02116,4.6328,0,39.91877,0,0,0.00439,0.01726,43.04835,0,2.77757,0,0,0,9.57425,0.00548
V1_UC_21,0,0,0.72,0,32.83025,0,0,0,0.00897,62.6789,0.00806,3.75386,0,0,0,0,0
V1_UC_6,0.00913,0.0062,3.69784,0,25.08161,0,0,0,0.02023,63.76141,0.00475,2.13553,0,0,0,5.28325,0
V1_UC_7,0,0,1.7531,0,61.48586,0,0,0,0,31.72045,0.00838,3.79435,0,0,0,1.23786,0
V1_UC_8,3.40237,0.00442,8.61718,0,25.28493,0,0,0,0.01925,56.83758,0,0.81132,0,0,0,4.97454,0.04844
V1_UC_9,0.2426,0.01011,8.15355,0,17.09046,0.00511,0,0,0.04948,66.06953,0,0.8203,0,0,0,7.55885,0
