SampleID,k__Archaea|p__Euryarchaeota|c__Archaeoglobi,k__Archaea|p__Euryarchaeota|c__Methanobacteria,k__Archaea|p__Euryarchaeota|c__Methanococci,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Aquificae|c__Aquificae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlorobi|c__Chlorobia,k__Bacteria|p__Deferribacteres|c__Deferribacteres,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,k__Bacteria|p__Firmicutes|c__Negativicutes,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__Spirochaetia,k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes,k__Eukaryota|p__Ascomycota|c__Saccharomycetes,k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes,k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname
MH0211,0,0,0,0,0.49351,0,44.68619,0,0,0,0,0,0,0.15046,43.97505,0.23307,5.47636,0,0,2.09188,0.69505,0,0.74515,0,0,0,1.45328,0,0,0,0
MH0212,0,0,0,0.00287,1.43729,0,44.26228,0.00472,0,0,0,0,0.00312,0.00785,48.85482,0.63199,0.06213,0,0,0.37669,0.47415,0,0.01821,0,0,0,3.86385,0,0,0,0
MH0217,0,0,0,0.00573,2.35497,0,37.82536,0,0,0,0,0,0.00623,0.02942,31.24306,0.37909,23.05031,0,0,0.66661,0.06656,0,0.03358,0,0,0,4.33906,0,0,0,0
MH0220,0,0.03636,0,0,0.65196,0,32.67572,0,0,0,0,0,0.00746,0.12691,51.5275,1.73829,9.48645,0,0,2.7431,0.18914,0,0.34591,0,0,0,0.47126,0,0,0,0
MH0224,0,0.48627,0,0,3.23934,0,49.85878,0,0,0,0,0,0,0.13098,43.85608,0.21597,0.45903,0,0,0.75201,0.14433,0,0.64748,0,0,0,0.20976,0,0,0,0
MH0227,0,0,0,0,1.66038,0,64.31418,0.00352,0,0,0,0,0,0.04762,24.60246,1.29954,4.60895,0,0,2.59024,0.73637,0,0.11381,0,0,0,0.02292,0,0,0,0
MH0229,0,5.75803,0.00222,0,2.148,0,18.99165,0,0,0,0,0,0.00618,0.22575,58.76231,0.5491,12.48184,0,0,0.17882,0.50775,0,0.31354,0,0,0,0.07475,0,0,0,0
MH0230,0,0,0,0,8.4741,0,42.05438,0,0,0,0,0,0,0.27693,45.45672,0.21929,2.88974,0,0,0.00952,0,0,0.05421,0,0,0,0.56515,0,0,0,0
MH0233,0,0,0,0,2.40245,0,62.82865,0,0,0,0,0,0.00277,0.00923,33.79881,0.4452,0.38565,0,0,0,0,0,0.10379,0,0,0,0.02343,0,0,0,0
MH0236,0,0,0,0,1.27043,0,55.51498,0,0,0.00053,0,0,0.0023,0.57323,29.36291,0.1547,9.41549,0.00749,0,2.80032,0.14718,0.00285,0.74766,0,0,0,0,0,0,0,0
MH0239,0,0,0,0,0.62037,0,71.65282,0,0.00384,0,0,0,0,0.02692,20.97726,0.64464,0.00476,0,0,0.00013,0.02426,0,0.02453,0,0,0,6.01239,0,0.00807,0,0
MH0243,0,0.00445,0,0.00257,1.11339,0,61.87323,0,0,0,0,0,0,0.03873,32.44206,0.43179,3.26172,0,0,0.52254,0.01192,0,0.19724,0,0,0,0.10035,0,0,0,0
MH0244,0,0,0,0,3.77335,0,71.09879,0.00384,0,0,0,0,0.00254,0.54077,21.86139,1.4669,0.00727,0,0,0.2379,1.00496,0,0,0,0,0,0.0023,0,0,0,0
MH0247,0,0,0,0,0.21481,0,49.95596,0,0.00716,0,0,0,0.00603,0.0044,42.52878,2.468,0.90366,0,0,0.29078,0.98247,0,2.18446,0,0,0,0.4535,0,0,0,0
MH0250,0,0,0,0,4.35891,0,28.37071,0,0,0,0,0,0.00479,0.05239,60.27695,0.06219,3.49329,0,0,0.69323,0.17991,0,0.1618,0,0,0,2.34584,0,0,0,0
MH0251,0,0,0,0,0.84184,0,39.93403,0,0,0,0,0,0,0.04171,58.77047,0.13057,0.07908,0,0,0.12644,0.02575,0,0.03822,0,0,0,0.01185,0,0,0,0
MH0253,0,0.06658,0,0,1.3765,0,27.82212,0,0,0,0,0,0.00692,0.02216,68.52096,0.11377,0.00962,0,0,1.11166,0.49414,0,0.02654,0,0,0,0.42904,0,0,0,0
MH0257,0,0.16094,0,0,0.63309,0,48.39679,0,0,0,0,0,0.00366,0,28.81007,0.29551,6.93034,0,0,0.06688,0.32757,0,14.22258,0,0,0,0.15261,0,0,0,0
MH0267,0,0,0,0,1.0252,0,31.41874,0,0,0.00087,0,0,0.00393,0.17843,55.84581,0.07626,7.35487,0,0,0.55003,0.30616,0,0.04472,0,0,0,3.19494,0,0,0,0
MH0272,0,0.00687,0,0,4.02398,0,46.69334,0,0,0,0,0,0.0057,0.01186,42.23807,0.90353,0.0212,0,0,1.65786,0.90416,0,0.02734,0,0,0,3.50607,0,0,0,0
MH0274,0,0.00133,0,0,4.54826,0,52.06049,0,0,0,0,0,0,0.20874,34.77448,0.60125,0.35516,0.00052,0,5.69333,0.59121,0,0.87692,0,0,0,0.28839,0,0,0,0
MH0275,0,0,0,0,6.17383,0,43.02416,0,0,0,0,0,0.00422,0.49536,43.93451,0.1434,0.60434,0,0,3.12939,1.32261,0,0.2449,0,0,0,0.91772,0,0.00561,0,0
MH0276,0,0.09348,0,0,3.04436,0,4.74641,0,0,0,0,0,0.0068,1.44232,77.91265,0.38717,9.15816,0,0,0.69195,0.02368,0,0.01971,0,0,0,2.47333,0,0,0,0
MH0277,0,0,0,0,0.04982,0,0.48182,0,0,0.00213,0,0,0.0001,2.29254,7.00534,0.12669,0.07476,0.26663,0,0.01817,0,0,89.682,0,0,0,0,0,0,0,0
MH0286,0,0,0,0,2.8113,0,28.81578,0,0,0,0,0,0.01219,0.66212,39.09563,0.86133,24.13688,0,0,1.79129,0.92102,0,0.0755,0,0,0,0.81698,0,0,0,0
MH0287,0,0,0,0,5.43314,0,27.63222,0,0,0,0,0,0.00203,5.64475,55.30875,0.54012,2.01149,0,0,1.86138,0.00666,0,1.55949,0,0,0,0,0,0,0,0
MH0288,0,0.03514,0,0,0.80659,0,23.26291,0,0,0,0,0,0,0.15496,64.46199,1.42785,8.43168,0,0,0.35606,0.01191,0.00068,0.94904,0,0,0,0.10115,0,0,0,0
MH0289,0,0,0,0,1.75295,0,61.25623,0,0,0,0,0,0,0.12063,32.19761,0.05754,0.04827,0,0,4.12656,0.3314,0,0.10878,0,0,0,0,0,0,0,0
MH0292,0,0,0,0,4.37583,0,16.57114,0,0,0,0,0,0.00423,0.42309,65.62774,0.19808,11.51995,0,0,0.58562,0.05825,0,0.63609,0,0,0,0,0,0,0,0
MH0302,0,0.01312,0,0,0.10737,0,70.46438,0,0,0,0,0,0.00554,0.09814,20.00735,0.57603,0.53275,0,0,0,0.01839,0,0.90861,0,0,0,7.26832,0,0,0,0
MH0305,0,0,0,0.00372,0.98481,0,46.85195,0,0,0,0,0,0.00405,0.0317,51.50839,0.22333,0.01709,0,0,0.27356,0,0,0.0569,0,0,0,0.04454,0,0,0,0
MH0307,0,0,0,0,1.59207,0,54.28048,0,0,0,0,0,0,0.02397,33.56061,0.22198,8.99831,0,0,0.66344,0.59799,0,0,0,0,0,0.06113,0,0,0,0
MH0313,0,0,0,0,0.83452,0,62.30438,0,0,0,0,0,0,0.17118,25.70574,0.05718,9.9124,0,0,0.54584,0.11136,0,0.2929,0,0,0,0.06448,0,0,0,0
MH0316,0,0.02433,0,0,0.3888,0,24.96987,0,0,0,0,0,0,0.03795,68.53276,1.70428,2.71526,0,0,1.1162,0.26289,0,0.03929,0,0,0,0.20838,0,0,0,0
MH0318,0,0.58825,0,0,1.33423,0,20.30783,0,0,0.00403,0,0,0.00921,0.00329,62.93529,2.49807,1.87308,0,0,0.22789,0.2976,0,7.31409,0.05748,0,0,2.54966,0,0,0,0
MH0321,0,0.02332,0,0,1.30093,0,62.17635,0,0,0,0,0,0.00318,0.7745,27.32447,0.77401,5.52516,0,0,0.60994,0.19848,0.00042,0.29492,0,0,0,0.99428,0,0,0,0
MH0322,0,0.02333,0,0,0.57195,0,71.8689,0,0,0,0,0,0,0.00175,23.84254,0.45945,1.58456,0,0,0.82849,0.33136,0,0.00211,0,0,0,0.48553,0,0,0,0
MH0333,0,0,0,0,0.32768,0,64.37061,0,0,0.0008,0,0,0.0034,0.05456,21.12852,0.52981,12.07487,0,0,0.10289,1.36429,0,0.04263,0,0,0,0,0,0,0,0
MH0403,0,0.01766,0,0,3.70531,0,37.53976,0,0,0.0006,0,0,0.005,0.02378,57.6714,0.09185,0.0219,0,0,0.43501,0.43385,0,0.05385,0,0,0,0,0,0,0,0
MH0404,0,0,0,0,0.18887,0,62.66187,0,0,0,0,0,0,0.01327,29.99817,0.75672,0.17307,0,0,0.87419,0.68429,0,0.00147,0,0,0,4.6481,0,0,0,0
MH0405,0,0,0,0,1.00776,0,61.00299,0,0,0,0,0,0.0033,0.32954,29.98596,0.70856,5.85604,0,0,0.69096,0.26226,0,0.12941,0,0,0,0.0232,0,0,0,0
MH0406,0,0,0,0,1.73651,0,57.99515,0,0,0,0,0,0.0024,0.04568,33.97329,0.63026,0.01422,0,0,4.07792,1.36108,0.0003,0.01295,0,0,0,0.15021,0,0,0,0
MH0407,0,0.19965,0,0,2.09603,0,22.28072,0,0,0,0,0,0.01106,0.02875,67.25738,0.48688,7.05278,0,0,0.21967,0.14116,0,0.22041,0,0,0,0,0,0.00554,0,0
MH0408,0,0.44951,0,0,1.08733,0,41.34715,0,0,0,0,0,0,0.14795,50.69758,1.36876,3.28022,0,0,0.89396,0.28925,0.00072,0.40337,0,0,0,0.03425,0,0,0,0
MH0409,0,0.27642,0,0,0.72177,0,20.47932,0,0,0,0,0,0,0.03481,75.77507,0.36546,1.896,0,0,0.18835,0.06713,0,0.02315,0,0,0,0.17255,0,0,0,0
MH0410,0,0,0,0,1.04822,0,40.92525,0,0,0.00108,0.00173,0,0,0.00452,54.1116,0.02909,2.63056,0,0,0.9981,0.24001,0,0.00983,0,0,0,0,0,0,0,0
MH0411,0,0,0,0,3.30567,0,28.11469,0,0,0,0,0,0,0.57036,53.29734,0.45909,13.04986,0,0,0.86492,0.13216,0,0.18403,0,0,0,0.02187,0,0,0,0
MH0412,0,0.09639,0,0,2.49685,0,29.97204,0,0,0,0,0,0.00351,0.55571,58.59636,0.48135,3.08075,0,0,0.37419,0.84743,0,0.23043,0,0,0,3.26496,0,0,0,0
MH0413,0,0,0,0,3.72291,0,33.7871,0,0,0,0,0,0.00323,0.04007,40.30445,0.96801,10.6617,0,0,0.57111,0.34365,0,0.01199,0,0,0,9.58579,0,0,0,0
MH0414,0,0.04008,0,0,0.13009,0,76.03021,0,0,0,0,0,0,0.73788,20.0024,1.05138,0.60812,0,0,0.2201,0.01127,0,0.08945,0,0,0,1.07904,0,0,0,0
MH0415,0,0.5863,0.00302,0.00772,1.33644,0,23.56928,0.01267,0,0,0,0,0.01259,0.17771,66.5287,2.7326,0.04559,0,0,0.26541,0.07387,0,0.9063,0.01618,0,0,3.72556,0,0,0,0
MH0417,0,0.47315,0,0,2.86446,0.00123,29.40175,0,0,0,0,0,0,0.01667,54.78698,0.74804,5.69668,0,0,0.064,0.23519,0.00322,0.49294,0,0,0,5.21574,0,0,0,0
MH0418,0,0.04491,0,0,1.51552,0,39.43437,0,0,0,0,0,0.00244,0.01642,56.79428,0.02726,1.19885,0,0,0.68218,0.21371,0,0.02635,0,0,0,0.04369,0,0,0,0
MH0419,0,0.00741,0,0.00219,2.48589,0,58.94038,0,0,0,0,0,0.00239,0.02777,31.32795,0.40374,6.4722,0,0,0.14972,0.0149,0.0026,0.08159,0,0,0,0.08133,0,0,0,0
MH0420,0,0,0,0,0.81424,0,6.66374,0,0,0,0,0,0,0.04296,92.08953,0.09361,0.23075,0,0,0,0,0,0.05764,0,0,0,0,0,0.00745,0,0
MH0421,0,0.05979,0,0,0.96096,0,57.07844,0.00508,0,0,0,0,0.00673,0.22332,38.89419,0.65338,0.20912,0,0,0.82715,0.27464,0,0.75207,0,0,0,0.05512,0,0,0,0
MH0422,0,0.30625,0,0,1.26277,0,33.87609,0,0,0,0,0,0,0,62.61603,0.07383,0.02044,0,0,0.14947,0.81287,0,0.04036,0,0,0,0.84186,0,0,0,0
MH0423,0,0,0,0,4.5661,0,35.77044,0,0,0,0,0,0.01019,0.84118,44.1494,0.75091,13.47529,0,0,0.27218,0.0024,0,0.04036,0.03775,0,0,0.08383,0,0,0,0
MH0424,0,0,0,0,1.57476,0,37.4522,0,0.0067,0,0,0,0.00589,0.79611,44.68338,0.85126,7.04198,0,0,2.23981,0.01999,0,1.28447,0,0,0,4.04345,0,0,0,0
MH0425,0,0,0,0,0.09244,0,56.09795,0.00328,0,0,0,0,0.00435,0.11453,39.05151,0.06018,1.90963,0.0004,0,0,0,0,2.66574,0,0,0,0,0,0,0,0
MH0426,0,0,0,0,0.70755,0,73.14242,0,0,0,0,0,0.00733,0.0183,25.32868,0.05202,0.01475,0,0,0.13292,0.22546,0,0.02086,0,0,0,0.3497,0,0,0,0
MH0427,0,0,0,0,0.98682,0,43.20378,0,0,0,0,0,0,0,21.33382,0.39914,10.4842,0,0,0.81317,0.13734,0,22.39695,0,0,0,0.24479,0,0,0,0
MH0429,0,0.0248,0,0,1.11074,0,41.32345,0,0,0,0,0,0,0,46.45802,0.19795,8.92598,0,0,0.70307,0.55409,0,0.05189,0,0,0,0.65002,0,0,0,0
MH0430,0,0.16598,0,0,6.07371,0,5.93878,0,0,0,0,0,0,0.19262,64.40479,1.42728,14.05676,0,0,0.26667,0.66414,0,0.13711,0,0,0,6.67217,0,0,0,0
MH0431,0,0.37068,0,0,4.39306,0,43.61032,0,0,0,0,0,0,2.72216,27.15238,0.238,0.07734,0,0,2.83983,0.51398,0,1.02572,0,0,0,17.05651,0,0,0,0
MH0432,0,0,0,0,9.91909,0,47.96327,0,0,0,0,0,0.0026,0.0165,24.52642,0.67405,14.33143,0,0,0.52572,0.04431,0,0.49331,0,0,0,1.50332,0,0,0,0
MH0433,0,0,0,0.00519,2.63317,0,59.07549,0,0,0,0,0,0,0.01643,29.10594,1.58139,4.57456,0,0,0.8184,0.2932,0,1.77684,0,0,0,0.11943,0,0,0,0
MH0434,0,0.2554,0,0,1.16861,0,28.69914,0,0,0,0,0,0.00382,0.57052,66.58647,0.35882,0.11752,0,0,1.19952,0.02801,0,0.39407,0,0,0,0.61817,0,0,0,0
MH0436,0,0.04079,0,0,0.51858,0,58.57031,0,0,0,0,0,0.00828,0.01601,39.34751,0.59072,0.19802,0,0,0.52046,0.13355,0,0.0301,0,0,0,0.02565,0,0,0,0
MH0437,0,0,0,0,0.61522,0,22.71228,0,0,0,0,0,0.00711,0,69.63294,1.12601,0.02525,0,0,1.19022,1.06202,0,0.01333,0,0,0,3.61561,0,0,0,0
MH0438,0,0.5494,0,0,1.21237,0,24.13451,0,0,0,0,0,0.00325,0.54361,71.30629,1.3861,0.09581,0,0,0.57318,0.01369,0,0.09055,0,0,0,0.0912,0,0,0,0
MH0439,0,0.08795,0,0,4.29473,0,29.00062,0,0,0,0,0,0,0.26133,51.72171,0.83226,9.68929,0,0,0.58072,0.18034,0,0.26155,0,0,0,3.0895,0,0,0,0
MH0440,0,0.30097,0,0,2.94095,0,36.18349,0,0,0,0,0,0.01171,0.09395,51.12948,0.52383,0.10625,0,0,0.10487,0.13173,0,0.34988,0,0,0,8.12291,0,0,0,0
MH0441,0,0.186,0,0,7.77934,0,29.6806,0,0,0,0,0,0.00278,0.03173,56.2271,1.40647,0.04548,0,0,2.01734,0.01673,0,0.00615,0,0,0,2.60027,0,0,0,0
MH0442,0,0.27064,0,0,2.06202,0,7.39937,0,0,0,0,0,0.0162,0.064,83.56412,1.57013,3.12495,0,0,0.12952,1.56334,0,0,0,0,0,0.23571,0,0,0,0
MH0443,0,0.11518,0,0,2.72051,0,28.8978,0.00736,0,0,0,0,0,0.02191,63.79927,0.08207,3.79722,0,0,0.48289,0.04497,0,0.03063,0,0,0,0.0002,0,0,0,0
MH0444,0,0.00088,0,0,0.21391,0,63.06626,0,0,0,0,0,0,0.01276,27.5893,0.11149,5.99308,0,0,0.15827,0.99581,0,1.84479,0,0,0,0.01346,0,0,0,0
MH0445,0,0,0,0,4.70333,0,32.16543,0,0,0,0,0,0.00955,1.0372,58.33363,0.24402,0.16205,0,0,0.16552,0.05573,0,0.24092,0,0,0,2.88262,0,0,0,0
MH0446,0,0.31449,0,0,0.91584,0,50.44447,0,0,0,0,0,0.00379,0.06576,34.93531,0.05005,11.80365,0,0,0.58758,0.72843,0,0.00391,0,0,0,0.14666,0,0,0,0
MH0447,0,0.11213,0,0,1.95032,0,27.68856,0,0,0,0,0,0.00974,0.47185,59.63333,1.83006,6.01702,0.00636,0,1.10154,0.19619,0,0.4257,0,0,0,0.55053,0,0,0.00669,0
MH0448,0,0.75546,0,0,7.63914,0,11.08579,0,0,0,0,0,0.00916,0.84273,66.38501,0.85717,0.54471,0,0,0.57589,0.16734,0,0.94426,0,0.33784,0,9.8548,0,0.00073,0,0
MH0450,0,0.11681,0,0,0.83599,0,22.68981,0.00404,0,0,0,0,0.00802,0.04668,65.07047,2.46901,4.24397,0,0,2.09788,0.43264,0,0.80107,0,0,0,1.18359,0,0,0,0
MH0451,0,0,0,0,1.93532,0,40.54755,0,0,0,0,0,0.00316,0.01393,56.05284,0.14207,0.04084,0,0,0.10569,0.43287,0,0.05558,0,0,0,0.67016,0,0,0,0
MH0452,0,0,0,0,4.62014,0,36.0041,0,0,0,0,0,0.01378,0.02722,49.19373,0.74531,6.92674,0,0,1.62641,0.70504,0,0.05577,0,0,0,0.08181,0,0,0,0
MH0453,0,0.11025,0,0.00227,0.08276,0,36.30279,0,0,0,0,0,0.00247,0.00129,62.82,0.07783,0.15346,0,0,0.09334,0.11298,0,0.00606,0,0,0,0.22342,0,0,0,0.0111
MH0454,0,0.42026,0,0,6.32856,0,27.96055,0,0,0,0,0,0.00319,0.00855,54.69639,3.81501,0.04536,0,0,1.71533,0.0519,0,0.02529,0,0,0,4.92964,0,0,0,0
MH0455,0,0,0,0.00201,0.88776,0,57.78051,0,0,0,0,0,0.00436,0.00709,36.69994,0.20087,4.17525,0,0,0.13542,0,0,0.07524,0,0,0,0.03149,0,0,0,0
MH0457,0,0.07846,0,0,1.93131,0,29.57477,0,0,0,0,0,0.00428,0.15359,55.56315,0.17872,5.325,0,0,1.03283,0.28699,0,0.08026,0,0,0,5.79068,0,0,0,0
MH0458,0,0,0,0,0.18224,0,44.50128,0,0,0,0,0,0,0.00212,42.25489,3.59613,2.57914,0,0,0.11619,0.54754,0,0.00227,0,0,0,6.21822,0,0,0,0
MH0462,0,0,0,0,5.9539,0,62.19973,0,0.0051,0.00141,0,0,0,0.0676,20.53715,0.28299,7.45878,0,0,2.26336,0.89854,0,0.0101,0,0,0,0.31493,0.00639,0,0,0
