SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Aquificae,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Chlorobi,k__Bacteria|p__Deferribacteres,k__Bacteria|p__Deinococcus_Thermus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Synergistetes,k__Bacteria|p__Tenericutes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota,k__Eukaryota|p__Eukaryota_noname
MH0003,0.0,0.0,1.1836300000000002,0.0,27.644969999999997,0.0,0.0,0.0,0.02036,69.89781000000002,0.0,1.25321,0.0,0.0,0.0,0.0,0.0,0.0
MH0006,0.0,0.00225,0.1972,0.0,56.83952,0.0,0.0,0.0,0.03431,42.07651999999998,0.0,0.8384,0.0,0.0,0.0,0.01181,0.0,0.0
MH0011,4.02677,0.0,1.4935699999999998,0.0,38.69112,0.0,0.0,0.0,0.04231,48.75326999999998,0.0,1.39149,0.0,0.0,0.0,5.6014800000000005,0.0,0.0
MH0012,0.43079,0.0026100000000000003,4.2605,0.0,41.7209,0.0,0.0,0.0,0.056720000000000007,45.79638,0.0,2.6635799999999996,0.0,0.0,0.0,5.06821,0.00031,0.0
MH0014,0.06246,0.00979,0.41779,0.0,30.969500000000004,0.0,0.0,0.0,0.01705,42.32514,0.0,26.013759999999998,0.0,0.0,0.0,0.1845,0.0,0.0
MH0016,0.00236,0.0,0.38094000000000006,0.0,56.819280000000006,0.0,0.0,0.0,0.0,41.90985999999998,0.0,0.8222600000000001,0.0,0.0,0.00852,0.05679,0.0,0.0
MH0020,0.0,0.0,2.50402,0.0,67.31922999999999,0.0,0.0,0.0,0.01756,28.165250000000007,0.0,1.9939000000000002,0.0,0.0,0.0,0.0,0.0,0.0
MH0024,0.11792,0.00613,0.12394000000000001,0.0,67.9722,0.0,0.0,0.0,0.03333,31.678669999999997,0.0,0.0455,0.0,0.0,0.0,0.021840000000000002,0.00047999999999999996,0.0
MH0025,0.52047,0.13182,3.54109,0.0,31.89237,0.0,0.0,0.0,0.0253,48.328999999999986,0.0,12.149300000000002,0.15232,0.0,0.0,3.25828,0.0,0.0
MH0026,0.0,0.0,0.5940400000000001,0.0,63.52387999999999,0.0,0.0,0.0,0.0,35.025110000000005,0.0,0.60118,0.0,0.0,0.0,0.2558,0.0,0.0
MH0028,0.06228,0.0053100000000000005,1.0949200000000001,0.0,64.41410999999998,0.0,0.0,0.0,0.0,30.94834,0.0,2.90892,0.0,0.0,0.0,0.56613,0.0,0.0
MH0030,0.11175,0.0,1.1850299999999998,0.0,14.694809999999999,0.0,0.01027,0.0,0.026889999999999997,82.99552000000003,0.0,0.9693500000000002,0.0,0.0,0.0,0.0,0.00642,0.0
MH0031,0.28367,0.0,1.2868499999999998,0.0,21.61471,0.0,0.0,0.0,0.010320000000000001,75.68320999999999,0.0,0.6604,0.0,0.0,0.0,0.4459,0.014910000000000001,0.0
MH0032,0.009250000000000001,0.0063100000000000005,0.42849,0.0,71.12093999999998,0.0,0.0,0.0,0.01372,27.679689999999994,0.0,0.6856,0.0,0.0,0.0,0.05595,0.0,0.0
MH0033,0.11188,0.0,0.87609,0.0,30.262459999999997,0.0,0.0,0.0,0.01176,67.52182,0.0,1.2050300000000003,0.0,0.0,0.0,0.01103,0.0,0.0
MH0034,0.0,0.0,0.16419999999999998,0.0,79.30505000000001,0.0,0.0,0.0,0.011479999999999999,19.775429999999997,0.0,0.74163,0.00224,0.0,0.0,0.0,0.0,0.0
MH0035,0.07484999999999999,0.0,2.69323,0.0,40.62331,0.0,0.0,0.0,0.0,51.099990000000005,0.0,0.78756,0.00271,0.0,0.0016600000000000002,4.71673,0.0,0.0
MH0036,0.11284,0.04446,0.06246,0.0,39.82574999999999,0.0,0.0,0.0,0.02418,59.66570999999999,0.0,0.25836000000000003,0.0,0.0,0.0,0.006220000000000001,0.0,0.0
MH0037,0.0,0.00725,0.46381000000000006,0.0,45.9367,0.0,0.0,0.0,0.04732,45.663709999999995,0.0,1.70436,0.0,0.0,0.0,6.17625,0.00057,0.0
MH0038,0.0,0.018609999999999998,0.90497,0.0,43.35982999999999,0.0,0.0,0.0,0.02698,54.592479999999995,0.0,1.09074,0.0,0.0,0.00343,0.003,0.0,0.0
MH0039,0.00727,0.0231,1.1630900000000002,0.0,59.5043,0.0,0.0,0.0,0.02512,36.76175999999999,0.0,2.28149,0.0,0.0,0.0,0.23388,0.0,0.0
MH0040,0.0,0.0139,0.82265,0.0,43.03937,0.0,0.0,0.0,0.10584,55.21844000000001,0.0,0.08212,0.0,0.0,0.0,0.7177,0.0,0.0
MH0041,0.0,0.01209,9.40077,0.0,35.47876000000001,0.0,0.0,0.0,0.00657,52.39458,0.0,2.5786900000000004,0.0,0.0,0.0,0.12853,0.0,0.0
MH0042,0.20212000000000002,0.00575,4.9614400000000005,0.0,32.58973999999999,0.0013800000000000002,0.0,0.0,0.07503,60.51293000000001,0.0,0.6779200000000001,0.0,0.0,0.0,0.9737,0.0,0.0
MH0043,0.0,0.01445,0.8933900000000001,0.0,45.82153000000001,0.00035,0.0,0.0,0.0576,51.09474,0.0,0.99727,0.0,0.0,0.0,1.12063,0.0,0.0
MH0044,0.0,0.00662,0.80848,0.0,24.655279999999994,0.0,0.0,0.0,0.0196,74.20291999999999,0.0,0.2972,0.0,0.0,0.0,0.0077599999999999995,0.00215,0.0
MH0046,0.0,0.00848,0.24671,0.0,47.73123999999998,0.0,0.0,0.0,0.00922,49.172850000000004,0.0,2.72301,0.0,0.0,0.0,0.0959,0.01261,0.0
MH0047,0.0,0.0,0.88494,0.0,58.25939999999999,0.0,0.0,0.0,0.0,40.20763000000001,0.0,0.6480100000000001,0.0,0.0,0.0,0.0,0.0,0.0
MH0048,0.0,0.0,2.35821,0.0,35.88745999999999,0.0,0.0,0.0,0.01143,59.070609999999995,0.0,0.95363,0.02607,0.0,0.0,1.69259,0.0,0.0
MH0049,0.0,0.0,0.56339,0.0,53.553979999999996,0.0,0.0,0.0,0.0,42.201190000000004,0.0,3.6814299999999998,0.0,0.0,0.0,0.0,0.0,0.0
MH0051,0.07591,0.00872,0.11715,0.0,42.118689999999994,0.0,0.0,0.0,0.00949,56.37361,0.0,1.26545,0.0,0.0,0.0,0.031,0.0,0.0
MH0052,0.16507,0.01153,0.47030000000000005,0.0,23.03968,0.0,0.0,0.0,0.0,73.07347,0.0,3.2399300000000006,0.0,0.0,0.0,0.0,0.0,0.0
MH0053,0.29591999999999996,0.0,3.2617400000000005,0.0,11.040639999999998,0.0,0.0,0.0,0.0085,84.76274000000002,0.0,0.61903,0.0,0.0,0.0,0.0,0.01138,0.0
MH0054,0.10813,0.01178,1.8111000000000002,0.0,25.806369999999998,0.0,0.0,0.0,0.03843,59.127280000000006,0.0,3.8464100000000006,0.0,0.0,0.0,9.25053,0.0,0.0
MH0055,0.0,0.0,1.05978,0.0,46.012250000000016,0.0,0.0,0.0,0.01896,50.58637999999999,0.0,2.3226,0.0,0.0,0.0,0.0,0.0,0.0
MH0057,0.0,0.0,0.37447,0.0,58.87026,0.0,0.0,0.0,0.0478,37.7085,0.0,2.9057700000000004,0.0,0.0,0.0,0.09321,0.0,0.0
MH0058,0.04619,0.0,0.81755,0.0,48.12239,0.0,0.00421,0.0,0.02758,45.91643,0.0,3.9164199999999996,0.0,0.0,0.0,1.14845,0.00078,0.0
MH0059,0.00352,0.0,2.42144,0.0,30.84901,0.0,0.0,0.0,0.00636,62.62005000000001,0.0,2.3628299999999998,0.0,0.0,0.0,1.7367599999999999,0.0,0.0
MH0060,0.6526,0.0,1.06439,0.0,20.459180000000003,0.0,0.0,0.0,0.03096,60.658240000000006,0.0,1.0591,0.0,0.0,0.0,16.07554,0.0,0.0
MH0061,0.0,0.01553,0.08659000000000001,0.0,72.09196000000001,0.0,0.0,0.0,0.016890000000000002,26.453289999999996,0.00271,1.33304,0.0,0.0,0.0,0.0,0.0,0.0
MH0062,0.0,0.0,3.26394,0.0,28.7605,0.0,0.0,0.0,0.00644,64.18715000000002,0.31259,3.46052,0.0,0.0,0.0,0.0,0.008870000000000001,0.0
MH0063,0.18231999999999998,0.0,0.54902,0.0,37.44265,0.0,0.0,0.0,0.03218,61.095850000000006,0.0,0.44998,0.24806,0.0,0.0,0.0,0.0,0.0
MH0064,0.0,0.02014,0.64422,0.0,62.57808999999999,0.0,0.0,0.0,0.02738,34.677299999999995,0.0,1.4116800000000003,0.0,0.0,0.0,0.64025,0.00095,0.0
MH0066,0.1683,0.0,4.34606,0.0,45.887710000000006,0.0,0.0,0.0,0.047439999999999996,45.891000000000005,0.0,1.2302,0.0,0.0,0.0,2.4293400000000003,0.0,0.0
MH0067,0.0,0.00527,1.00499,0.0,60.59779,0.0,0.0,0.0,0.00573,35.47856000000001,0.0,2.7969700000000004,0.0,0.0,0.0,0.11025,0.00041,0.0
MH0069,0.0,0.00315,3.76269,0.003,22.988979999999998,0.0,0.0,0.0,0.00685,72.53818000000001,0.0,0.6971699999999998,0.0,0.0,0.0,0.0,0.0,0.0
MH0070,0.1368,0.0,0.6703300000000001,0.0,33.56197999999999,0.0,0.0,0.0,0.02162,63.72241000000001,0.0,1.75241,0.0,0.0,0.0,0.13446,0.0,0.0
MH0072,0.0,0.004379999999999999,1.3153899999999996,0.0,28.492560000000005,0.0,0.0,0.0,0.028589999999999997,65.82902999999999,0.01709,4.312940000000001,0.0,0.0,0.0,0.0,0.0,0.0
MH0073,0.0,0.0,1.12097,0.0,39.243860000000005,0.0,0.0,0.0,0.0,53.387969999999996,0.015040000000000001,6.20374,0.0,0.0,0.0,0.02307,0.00528,0.0
MH0074,0.0,0.045919999999999996,1.30357,0.0,65.07932,0.0,0.0,0.0,0.0111,31.195489999999996,0.0,2.32044,0.0,0.0,0.0,0.04413,0.0,0.0
MH0075,0.14825000000000002,0.0,1.04081,0.0,26.023059999999997,0.0,0.0,0.0,0.02531,70.02538,0.0,2.25802,0.0,0.0,0.0,0.47917,0.0,0.0
MH0076,0.0,0.0,0.91838,0.0,50.272589999999994,0.0,0.0,0.0,0.0,48.27609,0.0,0.5013500000000001,0.0,0.0,0.0,0.031560000000000005,0.0,0.0
MH0077,0.051660000000000005,0.00656,0.8960899999999999,0.0,37.28309,0.0,0.007409999999999999,0.0,0.01941,60.12479,0.0,1.61099,0.0,0.0,0.0,0.0,0.0,0.0
MH0078,0.021900000000000003,0.0,0.33390000000000003,0.0,60.62174000000001,0.0,0.0,0.0,0.0,37.41459999999999,0.0,1.60507,0.0,0.0,0.0,0.0,0.0028,0.0
MH0079,1.9360700000000002,0.0,0.20342,0.0,43.82104000000001,0.0,0.0,0.0,0.0,48.317099999999996,0.0,5.72238,0.0,0.0,0.0,0.0,0.0,0.0
MH0080,0.0,0.00838,0.18707,0.0,39.675819999999995,0.0,0.0,0.0,0.00911,59.509,0.0,0.5261699999999999,0.0,0.0,0.0,0.08444,0.0,0.0
MH0081,0.33482,0.01305,0.64383,0.0,49.555119999999995,0.0,0.0,0.0,0.0213,47.42249000000001,0.00372,1.9491499999999997,0.0,0.0,0.0,0.05629,0.00025,0.0
MH0082,0.18194,0.0,0.7087800000000001,0.0,20.304049999999993,0.0,0.0,0.0,0.01427,77.63665999999999,0.0,1.0721300000000002,0.0,0.0,0.0,0.08215,0.0,0.0
MH0083,0.0,0.0404,1.9711400000000001,0.0,40.18247000000001,0.0,0.0,0.0,0.01883,55.344170000000005,0.0,2.1482,0.0,0.0,0.0,0.2948,0.0,0.0
MH0084,0.0,0.0,0.13523000000000002,0.0,81.33988,0.0,0.015059999999999999,0.0,0.0,17.016460000000006,0.0,1.47292,0.0,0.0,0.0,0.02045,0.0,0.0
MH0085,0.0,0.0,0.82483,0.0,62.26072999999999,0.0,0.00346,0.0,0.004529999999999999,34.52132000000001,0.0,2.37888,0.0,0.0,0.0,0.0,0.00621,0.0
MH0086,0.0,0.0,9.134939999999999,0.0,15.33436,0.0,0.0,0.0,0.03615,73.05671000000001,0.0,2.27726,0.0,0.0,0.0,0.16058,0.0,0.0
MH0087,0.0,0.0,0.6897599999999999,0.0,80.84583,0.0,0.0,0.0,0.0,15.872740000000002,0.0,0.3709800000000001,0.0,0.0,0.0,2.2206799999999998,0.0,0.0
MH0088,0.0,0.0,1.01493,0.0,27.064489999999996,0.00026000000000000003,0.0,0.0,0.0039299999999999995,71.42214,0.0005200000000000001,0.36127000000000004,0.0,0.0,0.0,0.13247,0.0,0.0
MH0089,0.0,0.01278,2.6022700000000007,0.0,50.555589999999995,0.0,0.0,0.0,0.0,43.32546,0.0,1.60927,0.0,0.0,0.0,1.89458,0.0,0.0
MH0091,0.0,0.00519,0.20317000000000002,0.0,59.04751,0.0,0.0,0.0,0.0113,37.41705,0.0,3.2909100000000002,0.0,0.0,0.0,0.0249,0.0,0.0
MH0092,0.0,0.00402,1.3464099999999999,0.0,40.92603000000001,0.0,0.0,0.0,0.01312,55.12708,0.0,2.4185199999999996,0.0,0.0,0.0,0.16482,0.0,0.0
MH0093,0.0,0.0,0.1147,0.0,44.65535,0.0,0.0,0.0,0.0,17.903270000000006,0.0,37.199839999999995,0.12683,0.0,0.0,0.0,0.0,0.0
MH0094,0.0,0.0,0.12272,0.0,69.56603000000001,0.0,0.0,0.0,0.00621,28.6016,0.0,1.7027199999999998,0.0,0.0,0.0,0.0007599999999999999,0.0,0.0
MH0095,0.0,0.0,0.38270000000000004,0.0,39.41917000000001,0.0,0.0,0.0,0.0,49.76311,0.0,10.31728,0.0,0.0,0.0,0.11772,0.0,0.0
MH0096,0.74831,0.0,0.13084,0.0,31.43788,0.0,0.0,0.0,0.010020000000000001,66.61361,0.0,0.43989999999999996,0.24169000000000002,0.0,0.0,0.37773,0.0,0.0
MH0097,0.7733,0.00908,0.66227,0.0,42.61072,0.0,0.0,0.0,0.00987,40.46762000000001,0.0,14.43913,0.0,0.0,0.0,1.02799,0.0,0.0
MH0098,0.03771,0.0,0.67424,0.0,38.90257,0.0,0.0,0.0,0.01123,59.90545000000001,0.0,0.4688299999999999,0.0,0.0,0.0,0.0,0.0,0.0
MH0099,0.0,0.00533,1.37406,0.0,39.06177,0.0,0.0,0.0,0.011590000000000001,58.248490000000004,0.0,0.59346,0.0,0.0,0.0,0.7053,0.0,0.0
MH0100,1.1183599999999998,0.01341,1.78724,0.0,19.73725,0.0,0.0,0.0,0.0,72.32354000000001,0.0,1.0181300000000002,0.0,0.0,0.0,4.0021,0.0,0.0
MH0101,0.0,0.0,1.83237,0.0,22.721819999999997,0.01414,0.0,0.0,0.01706,74.63311999999999,0.0,0.7814500000000001,0.0,0.0,0.0,0.0,0.0,0.0
MH0102,0.53685,0.0,3.07695,0.0,35.918139999999994,0.0,0.0,0.0,0.01567,58.01364999999999,0.0,1.60068,0.0,0.0,0.0,0.8380700000000001,0.0,0.0
MH0103,0.0,0.0,0.60886,0.0,59.14546999999999,0.0,0.0,0.0,0.0,39.41659,0.0,0.7468099999999999,0.0,0.0,0.0,0.08223,0.0,0.0
MH0105,0.0,0.01847,0.39907000000000004,0.0,66.46449000000001,0.0,0.0,0.0,0.0,32.65638,0.0,0.46155999999999997,0.0,0.0,0.0,0.0,0.0,0.0
MH0106,0.0,0.0,0.39213,0.0,66.30932,0.0,0.0,0.0,0.0,30.866839999999993,0.0,1.4474,0.0,0.0,0.0,0.97882,0.0055,0.0
MH0107,1.1411799999999999,0.0,1.2623199999999999,0.0,13.1595,0.0,0.0,0.0,0.00555,82.40677000000001,0.0,0.96315,0.0,0.0,0.0,1.06149,0.0,0.0
MH0108,0.0,0.0,0.58209,0.0,75.86929,0.0,0.0,0.0,0.0,18.44277,0.0,5.105849999999999,0.0,0.0,0.0,0.0,0.0,0.0
MH0110,0.0,0.0,0.3416,0.0,56.80838000000001,0.0,0.0,0.0,0.01105,39.16123999999999,0.0,2.63978,0.0,0.0,0.0,1.03796,0.0,0.0
MH0111,0.0,0.0,1.2216,0.0,22.66638,0.0,0.0,0.0,0.0,74.51787999999998,0.0,1.3368900000000001,0.0,0.0,0.0,0.17024,0.0,0.08699
MH0113,0.01347,0.006520000000000001,0.08112,0.0,36.26805000000001,0.0,0.0,0.0,0.007090000000000001,62.991940000000014,0.0,0.6318,0.0,0.0,0.0,0.0,0.0,0.0
MH0114,0.0,0.0,0.70132,0.0,65.57578000000001,0.0,0.0,0.0,0.00446,32.047399999999996,0.0,1.6710800000000001,0.0,0.0,0.0,0.0,0.0,0.0
MH0115,2.5028099999999998,0.00787,5.0060199999999995,0.0,35.97026000000001,0.0,0.0,0.0,0.01711,54.36608999999999,0.0,2.12986,0.0,0.0,0.0,0.0,0.0,0.0
MH0116,0.47303999999999996,0.0,3.7451199999999996,0.0,44.241969999999995,0.0,0.0,0.0,0.0,50.46926000000001,0.0,0.18717999999999999,0.0,0.0,0.0,0.8834700000000001,0.0,0.0
MH0117,1.05577,0.0,0.8412,0.0,24.587250000000004,0.0,0.0,0.0,0.0,59.65939,0.0,1.8631399999999998,0.0,0.0,0.0,11.99325,0.0,0.0
MH0118,0.0,0.0,3.6052999999999993,0.0,14.36566,0.01012,0.0,0.0,0.006840000000000001,81.56135,0.0,0.44247,0.0,0.0,0.0,0.0,0.00823,0.0
MH0119,0.0,0.0034700000000000004,0.7037799999999999,0.0,79.93704999999999,0.0,0.0,0.0,0.0037700000000000003,14.713879999999998,0.0,3.2024899999999996,0.0,0.0,0.0,1.4355799999999999,0.0,0.0
MH0120,0.3091,0.0,0.42167,0.0,68.41884999999998,0.0,0.0,0.0,0.00812,29.764550000000003,0.0,0.9895100000000002,0.0,0.0,0.0,0.0882,0.0,0.0
MH0121,0.0,0.0,0.17919,0.0,40.351929999999996,0.0,0.0,0.0,0.0,25.149670000000004,0.0,34.3192,0.0,0.0,0.0,0.0,0.0,0.0
MH0122,0.0,0.0,2.01975,0.0,34.36005,0.0,0.0,0.0,0.0,60.118559999999995,0.0,3.45635,0.0,0.0,0.0,0.04532,0.0,0.0
MH0123,0.06141,0.0,1.17876,0.0,49.44552000000001,0.0,0.0,0.0,0.01406,45.06661,0.0,4.23363,0.0,0.0,0.0,0.0,0.0,0.0
MH0124,0.49178,0.0,0.68413,0.0,24.50066,0.0,0.0,0.0,0.0,59.0033,0.0,2.6544399999999997,0.0,0.0,0.0,12.66201,0.00371,0.0
MH0125,0.0,0.0,0.81448,0.0,61.75651,0.0,0.0042899999999999995,0.0,0.00561,35.638529999999996,0.0,0.79637,0.0,0.0,0.0,0.9841799999999999,0.0,0.0
MH0126,1.67553,0.0,0.95383,0.0,9.538989999999998,0.0,0.0,0.0,0.0,73.44722999999999,0.01199,0.38674,0.0,0.0,0.0,13.985729999999998,0.0,0.0
MH0127,0.0,0.0,0.32451,0.0,40.83352000000001,0.0,0.0,0.0,0.0,58.67649,0.0,0.08911,0.0,0.0,0.0,0.07637999999999999,0.0,0.0
MH0128,0.0,0.0,2.05963,0.0,60.650240000000004,0.0,0.0,0.0,0.0,34.79540999999999,0.0,2.49471,0.0,0.0,0.0,0.0,0.0,0.0
MH0130,0.08104,0.0,0.21818999999999997,0.0,59.795850000000016,0.0,0.0,0.0,0.0,39.52362,0.0,0.25395000000000006,0.02028,0.0,0.0,0.10708,0.0,0.0
MH0131,5.754640000000001,0.0,16.06199,0.0,16.760519999999993,0.0,0.0,0.0,0.00569,57.141130000000004,0.08295,4.193110000000001,0.0,0.0,0.0,0.0,0.0,0.0
MH0132,4.260779999999999,0.006509999999999999,2.7768299999999995,0.0,8.870849999999999,0.0,0.0,0.0,0.014159999999999999,83.54701999999997,0.0,0.35578,0.16807,0.0,0.0,0.0,0.0,0.0
MH0133,0.0,0.01829,0.5591,0.0,63.07636000000001,0.0,0.0,0.0,0.0,34.30125,0.0,2.04501,0.0,0.0,0.0,0.0,0.0,0.0
MH0134,0.0,0.00575,1.4702300000000001,0.0,39.20710999999999,0.0,0.0,0.0,0.0,56.48242000000001,0.0,2.37776,0.0,0.0,0.0,0.45676000000000005,0.0,0.0
MH0135,0.18805999999999998,0.00787,2.52367,0.0,43.767199999999995,0.0,0.0,0.0,0.00856,49.184210000000014,0.0,3.7907100000000002,0.0,0.0,0.0,0.52973,0.0,0.0
MH0136,0.0,0.0,3.8236100000000004,0.0,61.23344999999999,0.0,0.00448,0.0,0.02345,32.00533,0.0,2.9097000000000004,0.0,0.0,0.0,0.0,0.0,0.0
MH0137,0.0,0.0,0.5737700000000001,0.0,34.271139999999995,0.0,0.0,0.0,0.0,64.41531999999998,0.0,0.7397799999999997,0.0,0.0,0.0,0.0,0.0,0.0
MH0138,0.02718,0.0,1.7678,0.0,71.60302999999999,0.0,0.0,0.01462,0.0,26.45453,0.0,0.13289,0.0,0.0,0.0,0.0,0.0,0.0
MH0140,0.0,0.0,1.6010000000000002,0.0,31.72855000000001,0.0,0.0,0.0,0.00489,62.38349000000002,0.0,1.74718,0.0,0.0,0.0,2.5349,0.0,0.0
MH0141,0.0,0.01234,0.24551,0.0,38.28585,0.0,0.00349,0.0,0.0,57.95062000000001,0.0,3.50218,0.0,0.0,0.0,0.0,0.0,0.0
MH0144,0.0,0.0,0.61761,0.0,63.73803000000001,0.0,0.0,0.0,0.0,34.81322999999998,0.0,0.8268400000000001,0.0,0.0,0.0,0.0042899999999999995,0.0,0.0
MH0147,0.0,0.0,2.14844,0.0,46.57186,0.0,0.0,0.0,0.00448,37.2339,0.0,4.557499999999999,0.0,0.0,0.0,9.483830000000001,0.0,0.0
MH0148,0.46246000000000004,0.0,0.5140899999999999,0.0,28.017220000000002,0.0,0.0,0.0,0.0,67.63932999999999,0.0,1.80999,0.06744,0.0,0.0,1.48948,0.0,0.0
MH0149,0.17338,0.00439,0.24450000000000002,0.0,40.23227000000001,0.0,0.0,0.0,0.00954,58.340959999999995,0.0,0.63726,0.0,0.35654,0.0,0.00117,0.0,0.0
MH0150,0.0,0.0,1.5618600000000002,0.0,57.00432,0.0,0.0,0.0,0.0033200000000000005,34.66960000000001,0.0,6.4430999999999985,0.0,0.0,0.0,0.31755,0.00023999999999999998,0.0
MH0151,0.2502,0.0,0.9158999999999999,0.0,38.40931,0.0,0.0,0.0,0.01113,58.02166,0.0,2.39182,0.0,0.0,0.0,0.0,0.0,0.0
MH0152,0.0034799999999999996,0.0,3.37761,0.0,40.24196999999999,0.0,0.0,0.0,0.0,55.76533999999999,0.0,0.6086100000000001,0.0,0.0,0.0,0.00299,0.0,0.0
MH0153,1.40756,0.30354000000000003,10.268759999999999,0.0,40.27372,0.0,0.0,0.0,0.00971,42.842929999999996,0.0,1.5745900000000002,0.0,0.0,0.0,3.31915,0.0,0.0
MH0154,0.04054,0.00424,0.35463000000000006,0.0,36.687349999999995,0.0,0.0,0.0,0.018430000000000002,60.572379999999995,0.0,2.32245,0.0,0.0,0.0,0.0,0.0,0.0
MH0155,0.0,0.0,2.13028,0.0,44.20701999999999,0.0,0.0,0.0,0.0,51.47513,0.0,1.71758,0.0,0.0,0.0,0.47001000000000004,0.0,0.0
MH0156,0.0,0.00403,0.00279,0.0,59.93160999999999,0.0,0.0,0.0,0.0,38.75586000000001,0.0,1.30131,0.0,0.0,0.0,0.00436,0.0,0.0
