SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Desulfurobacteriaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcales_unclassified,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae
S118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025399999999999997,0.0,0.71069,0.32178,0.0,13.247200000000001,0.909,1.67799,0.0,15.637419999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006640000000000001,0.0,0.02621,0.09902000000000001,0.0,0.0,0.0,5.16248,11.8103,0.04247,0.12465,29.47755,0.0,1.1999,0.0,5.588780000000001,0.0,0.0,0.0,0.26487,0.04915,0.26985,0.0,0.28469,0.0,1.2476200000000002,0.0,0.02271,0.0,0.0,0.0,0.0,11.8165,0.0,0.0
S121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00817,0.0,4.47151,1.9412800000000001,0.0,15.7389,0.14094,3.24224,0.0,1.88703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65923,0.0,1.4270100000000001,2.3455800000000004,0.004370000000000001,0.0,0.034929999999999996,10.543700000000001,14.41088,0.22414,0.22204000000000002,32.80522,0.0,2.8712599999999995,0.0,3.63297,0.0,0.0,0.0,0.37340999999999996,0.0,0.24803000000000003,0.0,0.1873,0.0,0.01959,0.0,0.0,0.0,0.0,0.0,0.0,0.56028,0.0,0.0
S126,4.52716,0.00787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.389060000000001,2.24871,0.0,7.6409400000000005,0.0,3.3891299999999998,0.29621,4.666910000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58699,0.0374,0.0,0.0,0.0,11.54328,6.91739,0.06272,0.54834,31.765819999999998,0.0,1.50083,0.0,8.22158,0.0,0.0,0.0,0.0,0.05432000000000001,0.0285,0.0,0.70635,0.0,0.01896,0.0,0.0,0.0,0.0,0.0,0.0,7.84156,0.0,0.0
S127,0.7853399999999999,0.0060799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82992,0.9873600000000001,0.0,4.03264,0.25889,0.9769200000000001,1.75182,1.2458200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007640000000000001,0.0,0.0,1.4818699999999998,3.2971699999999995,0.0,0.0,0.00499,3.05926,37.475829999999995,0.20685,0.4501,40.3218,0.0,0.13742000000000001,0.0,0.10156,0.0,0.0,0.0,0.0,0.0,0.10102,0.0,0.65783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82181,0.0,0.0
S137,9.11862,0.02806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89057,0.50877,0.0,11.500230000000002,0.08832000000000001,4.986770000000001,1.8540400000000001,1.8633600000000001,0.058839999999999996,0.0,0.0,0.0,0.03897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0245,0.0,0.0,0.0,0.00872,6.178640000000001,12.759540000000001,0.33655999999999997,0.82301,44.738139999999994,0.0,1.07451,1.3409200000000001,0.13616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.20272,0.0,0.0,0.0,0.0,0.0,0.0022600000000000003,0.15988,0.0,0.0
S141,0.17687999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01096,0.0,3.4020099999999998,1.86605,0.0,20.680780000000002,0.30318,0.40771999999999997,0.0,5.654859999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.00975,0.03296,0.01259,0.0,3.0076899999999998,0.05149999999999999,0.005220000000000001,0.0,0.0,14.475759999999998,14.382259999999999,0.12122000000000001,0.03457,30.789719999999996,0.0,0.03285,0.15368,3.19962,0.0,0.0,0.0,0.18437,0.0,0.27863000000000004,0.0,0.45858999999999994,0.0,0.12183,0.0,0.00855,0.0,0.0,0.0,0.0,0.12759,0.0,0.0
S143,1.7296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7605900000000005,0.8495000000000001,0.0,11.097309999999998,0.0,2.0851599999999997,0.0,5.70004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7574900000000002,0.0,1.7569899999999998,0.07519999999999999,0.0,0.0,0.015700000000000002,21.87193,11.065909999999997,0.33754,0.2128,21.00572,0.0,5.28379,0.0,7.06808,0.0,0.0,0.0,0.0,0.06777000000000001,0.12805,0.0,0.21403999999999998,0.0,1.15717,0.0,0.0,0.0,0.0,0.0,0.0,0.75961,0.0,0.0
S146,0.0,0.0,0.0,0.00082,0.0,0.0,0.0,0.0,0.0,0.0,3.26537,3.15841,0.0,4.71461,0.12603,1.0938599999999998,0.77446,1.32396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00374,0.05309,0.03567,0.0,6.04764,0.04488,0.0,0.0,0.00263,8.91377,22.746899999999997,0.31484,3.78046,28.88472,0.0,1.5687600000000004,0.35768,0.55842,0.0,0.0,0.0,0.0,0.0,0.00659,0.0,0.14428000000000002,0.0,11.93721,0.0,0.0,0.0,0.0,0.0,0.0,0.14122,0.0,0.0
S153,0.0,0.0,0.0,0.01135,0.0,0.0,0.01201,0.0,0.00203,0.03729,1.7714200000000002,2.6069000000000004,0.0,8.694410000000001,0.20188,1.3752499999999999,0.0,4.121589999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00551,0.0,0.50642,0.01398,0.32666999999999996,0.047970000000000006,0.00213,0.0,0.0,14.005429999999999,26.92649,0.03626,0.5127999999999999,36.42856,0.0,1.7107700000000003,0.0,0.00503,0.0,0.0,0.0,0.0,0.0,0.07571,0.0,0.31387000000000004,0.0,0.22616,0.0,0.0,0.0,0.0,0.0,0.0,0.022090000000000002,0.0,0.0
S155,0.34945000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4413000000000005,1.7414800000000001,0.0,10.387529999999998,0.48313999999999996,2.2000699999999997,0.0,2.74576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10435000000000001,0.00398,0.81782,13.6058,0.0,0.0025,0.00332,13.20159,7.830050000000001,0.49888999999999994,1.14532,33.39629,0.0,0.12644,0.0,3.398909999999999,0.0,0.0,0.0,0.0,0.0,0.11377999999999999,0.0,0.39217,0.0,0.34305,0.0,0.0,0.0,0.06977,0.0,0.0,3.59725,0.0,0.0
S158,0.17472000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0439200000000002,1.1256300000000001,0.0,21.32427,0.81123,4.01519,0.0,3.6722399999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04723,0.0,0.04807,6.0696200000000005,0.0,0.0,0.038349999999999995,23.000729999999997,9.832509999999997,0.62923,0.01495,21.418760000000002,0.0,0.12965000000000002,0.0,4.40536,0.0,0.0,0.0,0.0,0.0,0.27151,0.0,0.50259,0.0,0.14176,0.0,0.0,0.0,0.004370000000000001,0.0,0.0,1.2782,0.0,0.0
S187,0.79147,0.0,0.0,0.056049999999999996,0.0,0.0,0.0,0.0,0.02145,0.0,3.89901,2.2023399999999995,0.0,5.683590000000001,0.28075,2.1215499999999996,0.97646,1.8004499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00321,0.0,0.0,0.00172,0.02278,0.0,0.0,1.2508200000000003,0.80716,0.00456,0.0,1.31737,19.56092,15.780909999999999,0.33983,0.46175,33.568329999999996,0.0,0.06385,0.43172,4.420559999999999,0.0,0.0,0.0,0.00575,0.01939,0.29099,0.0,0.18087,0.0,0.013219999999999999,0.0,0.0707,0.0,0.0,0.0,0.0,3.5504800000000003,0.0,0.0
S193,3.91875,0.00624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77699,1.96005,0.0,9.255090000000001,1.8378299999999999,8.06528,1.50119,9.671959999999999,0.0,0.0,0.0,0.0,0.01734,0.0,0.0,0.0,0.0,0.0,0.0,0.007809999999999999,0.058879999999999995,0.0,0.35038,0.07635,0.0,0.0,0.00963,5.9594499999999995,8.299800000000001,0.22801999999999997,1.37318,31.87299,0.0,1.15905,0.0,8.79485,0.0,0.0,0.0,0.06945,0.08106000000000001,0.30318,0.0,0.6710200000000001,0.0,0.007520000000000001,0.0,0.007670000000000001,0.0,0.0,0.0,0.0,0.6572100000000001,0.0,0.0017699999999999999
S194,0.0,0.0,0.0,0.00886,0.0,0.0,0.0,0.0,0.00026000000000000003,0.0,0.0,0.44950999999999997,0.0,7.224409999999999,0.0,3.74674,0.0,4.14187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00831,0.18675999999999998,0.013380000000000001,0.0,0.0,1.62797,2.08272,26.257669999999997,0.21159,0.0192,14.518930000000001,0.0,0.15454,0.0,0.007409999999999999,0.0,0.0,0.0,0.0,0.00825,0.41996,0.0,0.35396,0.0,37.03253,0.0,0.0,0.30178,1.11304,0.0,0.0,0.11034000000000001,0.0,0.0
S195,0.0,0.0,0.00643,0.00656,0.0,0.0,0.0605,0.0,0.0,0.07701000000000001,1.6339299999999999,1.2549099999999997,0.0,0.64185,0.0,0.0,0.0,5.72314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593,0.0,1.09179,1.1413599999999997,0.0,0.0,0.01113,44.701069999999994,11.678679999999998,0.11080999999999999,1.40733,19.76106,0.0,1.10667,0.0,5.211680000000001,0.0,0.0,0.0,0.00309,0.0,0.00324,0.0,0.03721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13468,0.0,0.0
S198,1.8294400000000002,0.0,0.0,0.00369,0.0,0.0,0.01384,0.0,0.0,0.045989999999999996,4.65794,1.06745,0.0,3.29269,0.0,0.8884,0.0,4.956449999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24092999999999998,0.057710000000000004,0.52863,0.11173,0.00255,0.0,0.01245,16.784529999999997,14.352210000000003,0.19337000000000001,0.9455000000000001,45.31696,0.0,0.12216,0.0,3.2198500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7805399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.57493,0.0,0.0
S205,0.0,0.0,0.0,0.01193,0.0,0.0,0.0,0.0,0.0047799999999999995,0.0,0.0,0.22039,0.0,35.520739999999996,0.0,0.0,0.0,3.63537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00639,0.0,0.0,0.01325,0.0,0.0,0.0,0.27098,0.70496,0.00628,0.0,0.0017699999999999999,5.787999999999999,9.339859999999998,0.06903,0.0,20.09675,0.0,3.5504800000000003,0.0,3.96975,0.0,0.0,0.0,0.0,0.00288,0.03959,0.0,1.4841400000000002,0.0,4.06326,0.0,0.0,0.0,0.0,0.0,0.0,11.19943,0.0,0.0
S224,3.3017800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38259,0.14619,0.0,14.882679999999999,0.18288,5.16782,1.82263,5.56295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8608200000000001,3.44312,0.0,0.0,0.0,10.39634,13.35111,0.09725,1.14376,27.80015,0.0,0.27709,0.0,1.7748799999999998,0.0,0.0,0.0,0.0,0.06538,0.013630000000000001,0.0,0.15120999999999998,0.0,9.13651,0.0,0.02069,0.0,0.0,0.0,0.0,0.01769,0.0,0.0008900000000000001
S225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7658,0.84121,0.0,11.89685,1.08297,2.56346,1.02585,3.1434,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6137400000000001,13.457699999999999,0.00599,0.0,0.00221,12.7065,11.99094,0.35125,0.006529999999999999,29.147270000000002,0.0,0.04213,0.0,0.0439,0.0,0.0,0.0,0.00359,0.0,0.16934999999999997,0.0,0.04234,0.0,0.07197999999999999,0.0,0.0,0.0,0.04504999999999999,0.0,0.0,6.976839999999999,0.0,0.0
S231,14.790880000000001,0.00836,0.0,0.01684,0.0,0.0,0.0,0.0,0.0,0.0,0.15488000000000002,2.1910200000000004,0.0,1.99375,0.0517,0.98637,0.0,1.00318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64431,0.0,0.02211,0.0,0.22102999999999998,0.0,0.0,0.0,7.217080000000001,12.017039999999998,0.0703,0.030639999999999997,26.69702,0.0,1.16489,0.12719,0.03524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21244,0.0,27.99296,0.0,0.0,0.0,0.0,0.0,0.0,2.3507700000000002,0.0,0.0
S235,0.0,0.0,0.0,0.02435,0.0,0.0,0.0,0.0,0.00698,0.0,18.481169999999995,1.83357,0.0,2.55075,0.0266,1.28943,0.0,1.0967799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4256,0.0,0.0,5.10212,3.6359500000000002,0.0,0.0,0.012969999999999999,6.00047,9.396650000000001,0.27738,0.0,28.28581,0.0,2.47717,2.24107,7.790339999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25129,0.0,0.0,0.0,0.0,0.0,0.0,7.79355,0.0,0.0
S244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02081,0.0,0.0,2.70503,2.05699,0.0,5.449199999999999,0.0,0.0,0.0,2.1220299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055899999999999995,0.6305999999999999,0.60865,0.00263,0.0,0.046759999999999996,30.685360000000003,13.550469999999997,0.0794,0.16958,15.30073,0.0,0.62019,0.0,4.1088499999999994,0.0,0.0,0.0,0.07987999999999999,0.0,0.06501,0.0,0.0,0.0,21.681400000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.01084,0.0,0.0
S248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1529,0.0,9.722700000000001,1.26343,0.0,9.417859999999997,0.09015,1.1792500000000001,3.1924799999999998,1.05531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37447,0.15534999999999996,0.0,5.598090000000001,3.0013799999999997,0.0,0.0,0.00671,14.908890000000001,12.067459999999997,0.04002,0.06078,22.71037,0.0,5.558769999999999,0.0,2.20378,0.0,0.0,0.0,0.0,0.0,0.06405,0.0,0.08717,0.0,3.6215800000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.46705,0.0,0.0
